Teorico,Practico,Time[s],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],dist_Acum
1.0,1.0,0.0,-0.154628,-78.486263,8.416666666666666,0.0,2819,0.0
,,2.0,-0.154486,-78.486318,9.36111111111111,16.93799850637954,2819,16.93799850637954
,,5.0,-0.154246,-78.486363,7.75,27.160354153380727,2818,44.098352659760266
,,8.0,-0.154098,-78.486395,3.8055555555555554,16.842412600908006,2817,60.94076526066827
,,11.0,-0.154031,-78.486413,1.6944444444444444,7.716655483235628,2815,68.6574207439039
,,14.0,-0.154031,-78.486413,0.0,0.0,2815,68.6574207439039
,,22.0,-0.153991,-78.486426,1.3333333333333333,4.678267519017244,2815,73.33568826292114
,,25.0,-0.153951,-78.486433,1.5833333333333333,4.516807348038296,2815,77.85249561095944
,,28.0,-0.1539,-78.486441,2.1944444444444446,5.742088147331709,2814,83.59458375829115
,,31.0,-0.153825,-78.486453,3.111111111111111,8.448342585571107,2814,92.04292634386226
,,32.0,-0.153793,-78.48645,3.5833333333333335,3.5749620275250655,2814,95.61788837138732
,,33.0,-0.153758,-78.486436,4.0,4.1929348016435934,2813,99.81082317303091
,,34.0,-0.153731,-78.486405,4.833333333333333,4.572605655451162,2814,104.38342882848207
,,35.0,-0.153718,-78.486363,5.027777777777778,4.890303204723778,2814,109.27373203320585
,,36.0,-0.153713,-78.486313,5.944444444444445,5.589210031875,2813,114.86294206508084
,,39.0,-0.153718,-78.48613,7.611111111111111,20.362582501405104,2812,135.22552456648594
,,42.0,-0.153695,-78.485895,9.444444444444445,26.26381154721834,2812,161.48933611370427
,,45.0,-0.153658,-78.485623,10.416666666666666,30.533038545843386,2810,192.02237465954767
,,48.0,-0.153611,-78.485341,9.972222222222221,31.799367876246492,2810,223.82174253579416
,,51.0,-0.153576,-78.485123,6.472222222222222,24.558544295145616,2810,248.38028683093978
,,54.0,-0.153555,-78.485033,1.6388888888888888,10.27955152306445,2809,258.65983835400425
,,57.0,-0.153546,-78.485001,1.6388888888888888,3.697438678029803,2809,262.35727703203406
,,60.0,-0.153531,-78.484931,2.9166666666666665,7.962816908021227,2809,270.3200939400553
,,63.0,-0.153516,-78.48484,3.388888888888889,10.258466804899587,2809,280.57856074495487
,,65.0,-0.153523,-78.484781,2.8055555555555554,6.608564018746795,2809,287.18712476370166
,,66.0,-0.153541,-78.484761,3.1666666666666665,2.9928827808078466,2809,290.1800075445095
,,67.0,-0.153568,-78.484746,3.1666666666666665,3.4355407612791997,2809,293.6155483057887
,,68.0,-0.153598,-78.484738,3.4444444444444446,3.4535019014540884,2808,297.0690502072428
,,69.0,-0.153631,-78.484743,4.0,3.712477638651157,2809,300.78152784589395
,,72.0,-0.153751,-78.484768,4.861111111111111,13.634162360304197,2808,314.4156902061981
,,75.0,-0.15392,-78.484785,7.194444444444445,18.892706557403436,2808,333.30839676360154
,,78.0,-0.154151,-78.484813,9.5,25.882155514910366,2807,359.1905522785119
,,81.0,-0.154438,-78.484848,11.25,32.15946508476941,2806,391.3500173632813
,,84.0,-0.154768,-78.484883,12.75,36.91171544585768,2805,428.261732809139
,,87.0,-0.15511,-78.484925,12.027777777777779,38.32638328909972,2805,466.58811609823874
,,90.0,-0.1554,-78.48496,9.805555555555555,32.49072569790328,2805,499.078841796142
,,93.0,-0.155628,-78.484986,7.75,25.524761507941776,2805,524.6036033040838
,,96.0,-0.155851,-78.485016,8.88888888888889,25.027699523072968,2805,549.6313028271568
