Teorico,Practico,Time[s],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],dist_Acum
1.0,1.0,0.0,-0.154606,-78.486338,6.972222222222222,0.0,2828,0.0
,,3.0,-0.154405,-78.4864,8.11111111111111,23.396626849932602,2827,23.396626849932602
,,6.0,-0.154175,-78.486443,9.027777777777779,26.02611404138938,2827,49.42274089132198
,,9.0,-0.153965,-78.486475,6.888888888888889,23.627895733724788,2826,73.05063662504676
,,12.0,-0.153816,-78.486476,4.833333333333333,16.573618398788497,2824,89.62425502383526
,,13.0,-0.153778,-78.486456,4.611111111111111,4.776407867133742,2823,94.400662890969
,,14.0,-0.153746,-78.486423,4.916666666666667,5.112934493522773,2822,99.51359738449177
,,15.0,-0.15373,-78.486378,5.333333333333333,5.312299363003083,2821,104.82589674749485
,,17.0,-0.153718,-78.486281,6.055555555555555,10.871504135353133,2819,115.69740088284799
,,17.0,-0.153718,-78.486281,6.055555555555555,0.0,2819,115.69740088284799
,,17.0,-0.153718,-78.486281,6.055555555555555,0.0,2819,115.69740088284799
,,17.0,-0.153718,-78.486281,6.055555555555555,0.0,2819,115.69740088284799
,,20.0,-0.153713,-78.486088,7.916666666666667,21.474483379907635,2817,137.1718842627556
,,23.0,-0.153691,-78.485846,9.555555555555555,27.02852414792553,2816,164.20040841068115
,,26.0,-0.153656,-78.485593,9.027777777777779,28.409053063232925,2814,192.60946147391408
,,29.0,-0.15362,-78.485363,7.694444444444445,25.894252528148137,2813,218.50371400206222
,,32.0,-0.153593,-78.48519,5.277777777777778,19.47563705099759,2813,237.97935105305982
,,35.0,-0.15357,-78.48506,4.305555555555555,14.684393306653918,2812,252.66374435971375
,,38.0,-0.153555,-78.48496,3.2222222222222223,11.247381311598216,2811,263.91112567131194
,,41.0,-0.153545,-78.484893,1.7777777777777777,7.534922492022774,2809,271.4460481633347
,,44.0,-0.153545,-78.484893,0.0,0.0,2809,271.4460481633347
,,47.0,-0.153538,-78.484848,1.4722222222222223,5.065521226124456,2809,276.51156938945917
,,48.0,-0.153541,-78.484806,2.6666666666666665,4.683538582902778,2811,281.19510797236194
,,49.0,-0.153551,-78.484783,2.7777777777777777,2.7896216021752775,2811,283.9847295745372
,,50.0,-0.153571,-78.48476,3.638888888888889,3.390222914056684,2810,287.37495248859386
,,51.0,-0.153596,-78.484748,2.7777777777777777,3.084495661900382,2810,290.45944815049427
,,52.0,-0.153625,-78.484745,3.4722222222222223,3.242878910755233,2810,293.7023270612495
,,54.0,-0.153681,-78.484753,3.0833333333333335,6.292109095135308,2810,299.9944361563848
,,57.0,-0.153803,-78.484773,4.861111111111111,13.75117343745874,2810,313.74560959384354
,,60.0,-0.153965,-78.484795,6.888888888888889,18.18463084019905,2811,331.9302404340426
,,63.0,-0.154183,-78.484823,8.944444444444445,24.447293666510564,2811,356.3775341005532
,,66.0,-0.154456,-78.484861,10.583333333333334,30.658499395322057,2809,387.03603349587524
,,69.0,-0.154748,-78.4849,11.0,32.76752143995457,2809,419.8035549358298
,,72.0,-0.155045,-78.48493,11.055555555555555,33.203361593515204,2808,453.006916529345
,,75.0,-0.155336,-78.484968,10.694444444444445,32.64268520232533,2808,485.6496017316703
,,78.0,-0.155621,-78.485006,10.63888888888889,31.981041302458483,2806,517.6306430341288
,,81.0,-0.155903,-78.485038,10.277777777777779,31.568114735121473,2806,549.1987577692503
,,84.0,-0.156173,-78.485075,9.666666666666666,30.31272953702562,2805,579.5114873062759
,,87.0,-0.156418,-78.485111,8.666666666666666,27.543927476813096,2805,607.055414783089
,,89.0,-0.156565,-78.485155,8.222222222222221,17.06752313694937,2805,624.1229379200383
,,91.0,-0.15668,-78.485235,7.805555555555555,15.582085736522634,2804,639.705023656561
,,94.0,-0.156833,-78.48537,7.75,22.69575546420004,2803,662.4007791207611
,,96.0,-0.156963,-78.485423,7.972222222222222,15.615408458760351,2803,678.0161875795214
,,97.0,-0.157035,-78.485428,7.861111111111111,8.027835357195702,2803,686.0440229367172
,,99.0,-0.157178,-78.485401,7.972222222222222,16.186900675821185,2803,702.2309236125384
,,102.0,-0.157398,-78.485345,8.88888888888889,25.25088129273712,2801,727.4818049052756
,,105.0,-0.15766,-78.485301,10.333333333333334,29.55031182416736,2800,757.0321167294429
,,107.0,-0.157853,-78.485308,11.13888888888889,21.481472915078967,2799,778.5135896445219
,,110.0,-0.158163,-78.485356,11.305555555555555,34.89214138256855,2798,813.4057310270904
,,113.0,-0.15837,-78.485371,11.36111111111111,23.084946865533414,2798,836.4906778926238
,,116.0,-0.158773,-78.485415,11.0,45.09200166247365,2797,881.5826795550975
,,119.0,-0.159066,-78.485463,10.833333333333334,33.02476916988532,2796,914.6074487249828
,,122.0,-0.159358,-78.485503,10.833333333333334,32.782431872234895,2796,947.3898805972176
,,125.0,-0.159653,-78.485548,11.0,33.19236592726193,2796,980.5822465244795
,,128.0,-0.159946,-78.4856,10.944444444444445,33.09960978824271,2795,1013.6818563127222
,,131.0,-0.160246,-78.48564,11.13888888888889,33.66425387181181,2795,1047.346110184534
,,134.0,-0.160545,-78.485685,11.0,33.63226435698309,2794,1080.978374541517
,,137.0,-0.160841,-78.48573,10.88888888888889,33.302327992883534,2795,1114.2807025344005
,,140.0,-0.161135,-78.48576,10.694444444444445,32.87137849541909,2794,1147.1520810298196
,,143.0,-0.161413,-78.485788,10.11111111111111,31.07833870599471,2794,1178.2304197358142
,,146.0,-0.161688,-78.48582,9.972222222222221,30.794595910583155,2795,1209.0250156463974
,,149.0,-0.161948,-78.485855,8.833333333333334,29.18060993304372,2795,1238.2056255794412
1.0,,152.0,-0.162145,-78.48587,5.861111111111111,21.975704414753515,2796,1260.1813299941946
,1.0,155.0,-0.162231,-78.485891,1.2777777777777777,9.846822549660269,2795,1270.028152543855
,,158.0,-0.162231,-78.485891,0.0,0.0,2795,1270.028152543855
,,164.0,-0.16225,-78.485905,1.4722222222222223,2.625114622064185,2794,1272.653267165919
,,165.0,-0.162268,-78.485906,2.0833333333333335,2.0052243105558656,2794,1274.6584914764749
,,168.0,-0.16236,-78.48592,4.194444444444445,10.350949568357722,2793,1285.0094410448326
,,171.0,-0.162505,-78.485935,6.111111111111111,16.214394481021756,2793,1301.2238355258544
,,174.0,-0.162705,-78.485948,8.36111111111111,22.292911339285812,2792,1323.5167468651402
,,177.0,-0.162961,-78.485983,9.972222222222221,28.73972912367934,2792,1352.2564759888196
,,180.0,-0.16326,-78.48602,11.5,33.511388856921464,2794,1385.767864845741
,,183.0,-0.16356,-78.48609,11.055555555555555,34.2652812672717,2795,1420.033146113013
,,186.0,-0.163865,-78.48614,11.0,34.37793315934209,2795,1454.411079272355
,,189.0,-0.164155,-78.486181,10.75,32.57742874763024,2796,1486.9885080199851
,,192.0,-0.164445,-78.486245,10.694444444444445,33.032819749036605,2797,1520.0213277690218
,,195.0,-0.164726,-78.486308,10.63888888888889,32.03148202811692,2797,1552.0528097971387
,,198.0,-0.165013,-78.48637,10.777777777777779,32.659353594171236,2797,1584.71216339131
,,201.0,-0.165301,-78.486431,10.694444444444445,32.74485557633033,2796,1617.4570189676404
,,204.0,-0.165586,-78.486488,10.63888888888889,32.3282909537982,2795,1649.7853099214385
,,207.0,-0.165876,-78.486548,10.63888888888889,32.93980381002264,2793,1682.725113731461
,,210.0,-0.16617,-78.486613,11.305555555555555,33.49125744489124,2791,1716.2163711763524
,,213.0,-0.166468,-78.48667,11.055555555555555,33.747390342472016,2789,1749.9637615188244
,,216.0,-0.166753,-78.486723,10.63888888888889,32.24398740733033,2791,1782.2077489261546
,,219.0,-0.16703,-78.486781,10.277777777777779,31.47882326190224,2790,1813.686572188057
,,222.0,-0.167308,-78.48684,10.583333333333334,31.6106047933265,2789,1845.2971769813835
,,225.0,-0.167596,-78.486895,10.833333333333334,32.613105721564374,2789,1877.9102827029478
,,228.0,-0.167886,-78.486955,10.694444444444445,32.93980367169964,2788,1910.8500863746474
,,231.0,-0.168175,-78.487016,10.75,32.853679261612704,2787,1943.7037656362602
,,234.0,-0.168456,-78.48708,10.63888888888889,32.05599885259016,2787,1975.7597644888504
,,237.0,-0.168738,-78.487133,10.75,31.915980573035533,2787,2007.675745061886
,,240.0,-0.169026,-78.487193,10.694444444444445,32.72198864850307,2788,2040.397733710389
,,243.0,-0.169305,-78.487248,10.333333333333334,31.6303644525963,2789,2072.0280981629853
,,246.0,-0.169586,-78.487298,10.583333333333334,31.746517860099708,2789,2103.774616023085
,,249.0,-0.169871,-78.487345,10.63888888888889,32.1286715022752,2791,2135.90328752536
,,252.0,-0.17015,-78.487396,9.86111111111111,31.54733329771272,2791,2167.4506208230728
,,255.0,-0.17038,-78.487446,7.083333333333333,26.18038819810428,2790,2193.631009021177
,,258.0,-0.170535,-78.487475,4.722222222222222,17.539781776218355,2791,2211.170790797395
,,260.0,-0.170595,-78.4875,3.388888888888889,7.229934420749207,2791,2218.400725218144
,,263.0,-0.170628,-78.487518,0.0,4.181113196293048,2792,2222.5818384144372
,,271.0,-0.170658,-78.487541,1.6388888888888888,4.204716193293424,2794,2226.7865546077305
,,273.0,-0.170703,-78.487545,2.861111111111111,5.0250776065683285,2795,2231.8116322142987
,,276.0,-0.170806,-78.487566,4.611111111111111,11.69236456541536,2796,2243.5039967797143
