Teorico,Practico,Time[s],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],dist_Acum
1.0,,0.0,-0.252058,-78.521338,2.361111111111111,0.0,2844,0.0
,1.0,5.0,-0.251928,-78.52131,2.5,14.791470543053379,2843,14.791470543053379
,,10.0,-0.251893,-78.521298,0.0,4.115499645320635,2843,18.906970188374014
,,100.0,-0.251893,-78.521298,0.0,0.0,2843,18.906970188374014
,,101.0,-0.251893,-78.521298,0.0,0.0,2843,18.906970188374014
,,101.0,-0.251893,-78.521298,0.0,0.0,2843,18.906970188374014
,,101.0,-0.251893,-78.521298,0.0,0.0,2843,18.906970188374014
,,101.0,-0.251893,-78.521298,0.0,0.0,2843,18.906970188374014
,,116.0,-0.251848,-78.521208,1.2777777777777777,11.192199556068141,2838,30.099169744442158
,,121.0,-0.251698,-78.521173,4.555555555555555,17.13263569069954,2837,47.231805435141695
,,123.0,-0.251621,-78.521175,4.0,8.567585702410833,2837,55.799391137552526
,,125.0,-0.251568,-78.521195,2.611111111111111,6.300944042012964,2837,62.10033517956549
,,130.0,-0.251538,-78.521215,0.0,4.0104367771010425,2836,66.11077195666654
,,240.0,-0.251475,-78.521283,1.1666666666666667,10.31077809997106,2834,76.4215500566376
,,244.0,-0.25143,-78.521345,2.5,8.521196916459546,2835,84.94274697309714
,,246.0,-0.251403,-78.521378,2.611111111111111,4.742591526128379,2835,89.68533849922552
,,247.0,-0.251381,-78.521391,2.8055555555555554,2.8423450251422655,2835,92.52768352436779
,,248.0,-0.251355,-78.521396,3.111111111111111,2.9449650564373044,2835,95.4726485808051
,,249.0,-0.251326,-78.521391,3.1666666666666665,3.2732570464205697,2835,98.74590562722567
,,250.0,-0.251296,-78.521383,3.4444444444444446,3.4535005192926214,2835,102.19940614651829
,,251.0,-0.251266,-78.521378,3.3333333333333335,3.3829224297135836,2834,105.58232857623187
,,256.0,-0.251063,-78.521325,5.583333333333333,23.33652426439645,2833,128.91885284062832
,,261.0,-0.250781,-78.521243,7.027777777777778,32.66596390931875,2833,161.58481674994707
,,266.0,-0.250468,-78.521151,7.444444444444445,36.28767201144653,2833,197.87248876139358
,,271.0,-0.25018,-78.521056,5.805555555555555,33.73196270573933,2832,231.60445146713292
,,276.0,-0.250011,-78.521,2.5555555555555554,19.802952997324667,2832,251.40740446445758
,,281.0,-0.249956,-78.52098,2.1944444444444446,6.509551859502604,2832,257.91695632396016
,,286.0,-0.249778,-78.520921,5.638888888888889,20.858169297506947,2832,278.7751256214671
,,291.0,-0.249523,-78.52083,5.805555555555555,30.115534920073557,2832,308.8906605415407
,,295.0,-0.249345,-78.52078,4.194444444444445,20.56517573349755,2832,329.4558362750382
,,299.0,-0.249173,-78.520771,5.638888888888889,19.157703663316113,2833,348.61353993835434
,,304.0,-0.24887600000000001,-78.520653,7.972222222222222,35.547066876311284,2832,384.16060681466564
,,309.0,-0.248503,-78.520516,9.083333333333334,44.19866117848901,2833,428.3592679931547
,,314.0,-0.24813,-78.520376,8.833333333333334,44.31481315546435,2832,472.67408114861905
,,319.0,-0.247733,-78.520226,9.5,47.20505256757866,2832,519.8791337161977
,,324.0,-0.24732,-78.520076,9.5,48.87391029169031,2831,568.753044007888
,,329.0,-0.246941,-78.519928,8.722222222222221,45.25627301023028,2831,614.0093170181183
,,334.0,-0.246535,-78.519776,10.222222222222221,48.22035488218206,2829,662.2296719003003
,,339.0,-0.246061,-78.519603,11.86111111111111,56.12473177361178,2826,718.3544036739121
,,344.0,-0.245546,-78.519416,12.277777777777779,60.94271868083676,2825,779.2971223547488
,,349.0,-0.24504,-78.519246,11.722222222222221,59.37375882433825,2823,838.670881179087
1.0,,354.0,-0.244606,-78.519078,8.63888888888889,51.764252156144835,2822,890.4351333352319
,1.0,359.0,-0.244343,-78.519001,3.888888888888889,30.481417501909995,2820,920.9165508371418
,,364.0,-0.24426,-78.519003,0.0,9.23475595732662,2822,930.1513067944684
,,396.0,-0.244298,-78.519025,1.2222222222222223,4.883979248096533,2825,935.035286042565
,,401.0,-0.244221,-78.519028,2.361111111111111,8.571195020488064,2825,943.606481063053
,,406.0,-0.24402,-78.518976,4.305555555555555,23.09323970518403,2823,966.6997207682371
,,409.0,-0.243666,-78.518806,9.027777777777779,43.680265172195945,2822,1010.379985940433
