Teorico,Practico,Time[s],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],dist_Acum
1.0,1.0,0.0,-0.252023,-78.521288,1.8333333333333333,0.0,2848,0.0
,,5.0,-0.251885,-78.521248,3.5277777777777777,15.981512758171913,2847,15.981512758171913
,,10.0,-0.251821,-78.52123,0.0,7.394896725631766,2846,23.37640948380368
,,44.0,-0.251821,-78.52123,0.0,0.0,2846,23.37640948380368
,,45.0,-0.251821,-78.52123,0.0,0.0,2846,23.37640948380368
,,45.0,-0.251821,-78.52123,0.0,0.0,2846,23.37640948380368
,,45.0,-0.251821,-78.52123,0.0,0.0,2846,23.37640948380368
,,45.0,-0.251821,-78.52123,0.0,0.0,2846,23.37640948380368
,,237.0,-0.251758,-78.521225,1.7222222222222223,7.029513836248523,2857,30.405923320052203
,,242.0,-0.251598,-78.521193,5.194444444444445,18.149212149817814,2855,48.55513546987002
,,243.0,-0.251551,-78.5212,5.277777777777778,5.285464546266461,2853,53.84060001613648
,,244.0,-0.251511,-78.521216,4.777777777777778,4.79192149818799,2853,58.632521514324466
,,245.0,-0.251483,-78.52124,4.055555555555555,4.1019368337400275,2853,62.73445834806449
,,250.0,-0.251451,-78.521278,0.0,5.525752340629765,2852,68.26021068869426
,,337.0,-0.251435,-78.521365,1.6388888888888888,9.839191515687164,2853,78.09940220438142
,,340.0,-0.251398,-78.521423,3.0833333333333335,7.652204478715391,2852,85.75160668309681
,,341.0,-0.251371,-78.521438,3.638888888888889,3.4355358716678714,2851,89.18714255476468
,,342.0,-0.251331,-78.521435,4.555555555555555,4.4616888976864155,2850,93.64883145245109
,,343.0,-0.25129,-78.521423,4.861111111111111,4.751736951835381,2849,98.40056840428647
,,348.0,-0.251036,-78.521345,7.138888888888889,29.55447690424951,2846,127.95504530853599
,,349.0,-0.25097,-78.521325,7.861111111111111,7.670821176737489,2846,135.62586648527346
,,350.0,-0.250898,-78.521305,8.333333333333334,8.311773357896456,2846,143.9376398431699
,,355.0,-0.250506,-78.521191,9.194444444444445,45.40844717110734,2844,189.34608701427726
,,360.0,-0.250116,-78.521075,8.944444444444445,45.25779716031251,2843,234.60388417458978
,,365.0,-0.249753,-78.52096,7.333333333333333,42.35414554823835,2842,276.95802972282814
,,370.0,-0.249578,-78.520905,1.1111111111111112,20.403912371449,2840,297.36194209427714
,,371.0,-0.24957,-78.520898,1.1111111111111112,1.1823844820536973,2840,298.54432657633083
,,375.0,-0.249495,-78.520868,3.388888888888889,8.984852998308021,2839,307.5291795746389
,,379.0,-0.249328,-78.520828,5.444444444444445,19.100779255817102,2837,326.62995883045596
