Teorico,Practico,Time[s],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],dist_Acum
1.0,1.0,0.0,-0.252011,-78.521213,1.2222222222222223,0.0,2839,0.0
,,5.0,-0.251895,-78.521198,2.7222222222222223,13.010085133965495,2840,13.010085133965495
,,10.0,-0.251863,-78.521191,0.0,3.6435183021667608,2839,16.653603436132254
,,173.0,-0.251863,-78.521191,0.0,0.0,2839,16.653603436132254
,,174.0,-0.251863,-78.521191,0.0,0.0,2839,16.653603436132254
,,179.0,-0.251868,-78.521178,1.2777777777777777,1.5492392655613416,2837,18.202842701693594
,,180.0,-0.251855,-78.521175,1.7222222222222223,1.48399034389738,2837,19.686833045590973
,,180.0,-0.251855,-78.521175,1.7222222222222223,0.0,2837,19.686833045590973
,,180.0,-0.251855,-78.521175,1.7222222222222223,0.0,2837,19.686833045590973
,,185.0,-0.251775,-78.521151,2.4444444444444446,9.290181006172327,2836,28.977014051763298
,,189.0,-0.251651,-78.521145,2.5,13.808635835569035,2836,42.78564988733233
,,192.0,-0.251585,-78.521166,2.1944444444444446,7.703813496342957,2835,50.48946338367529
,,193.0,-0.251568,-78.521178,2.0,2.3145354775009617,2835,52.803998861176254
,,195.0,-0.251545,-78.521198,1.3888888888888888,3.3902157785052593,2835,56.19421463968151
,,196.0,-0.251538,-78.52121,1.3333333333333333,1.5452431169036485,2834,57.73945775658516
,,201.0,-0.251538,-78.52121,0.0,0.0,2834,57.73945775658516
,,277.0,-0.25143,-78.521285,1.8888888888888888,14.625302656676446,2853,72.3647604132616
,,281.0,-0.251375,-78.52135,2.5,9.470825896371588,2852,81.8355863096332
,,282.0,-0.251351,-78.521361,3.0833333333333335,2.9365469554655768,2852,84.77213326509877
,,284.0,-0.251283,-78.521371,4.305555555555555,7.64497627710293,2852,92.4171095422017
,,285.0,-0.251241,-78.521363,4.916666666666667,4.755642894151761,2851,97.17275243635346
,,287.0,-0.251141,-78.521338,6.222222222222222,11.465302296680568,2851,108.63805473303402
,,288.0,-0.25108,-78.521325,7.138888888888889,6.937386734032818,2851,115.57544146706684
,,293.0,-0.250733,-78.52122,8.88888888888889,40.32503930563479,2849,155.90048077270163
,,298.0,-0.250351,-78.521085,8.88888888888889,45.065059182145944,2846,200.96553995484757
,,303.0,-0.250011,-78.520981,6.972222222222222,39.547765840783036,2844,240.5133057956306
,,308.0,-0.249758,-78.520896,4.777777777777778,29.686878369940075,2842,270.2001841655707
,,313.0,-0.249643,-78.520861,1.1111111111111112,13.370722024659935,2840,283.57090619023063
,,318.0,-0.249586,-78.520845,3.1666666666666665,6.585139752964447,2839,290.15604594319507
,,323.0,-0.249381,-78.520785,4.666666666666667,23.75868502080806,2837,313.9147309640031
,,325.0,-0.249311,-78.520776,3.2222222222222223,7.850177742012995,2837,321.7649087060161
,,330.0,-0.249123,-78.520751,5.888888888888889,21.09528497469166,2837,342.86019368070777
,,335.0,-0.24878,-78.520613,10.277777777777779,41.12385815104239,2836,383.98405183175015
,,340.0,-0.248285,-78.520428,12.277777777777779,58.77834805454589,2835,442.76239988629607
,,345.0,-0.24776,-78.520228,12.75,62.489416312837726,2834,505.25181619913377
,,350.0,-0.24724,-78.520043,11.194444444444445,61.39084369442655,2832,566.6426598935603
,,355.0,-0.246836,-78.519891,9.38888888888889,48.01208024308914,2830,614.6547401366495
,,360.0,-0.246388,-78.519723,11.555555555555555,53.21943347829817,2827,667.8741736149476
,,365.0,-0.24587,-78.519531,12.88888888888889,61.44754391336805,2824,729.3217175283156
,,370.0,-0.245355,-78.519353,11.13888888888889,60.6083612254538,2822,789.9300787537694
,,375.0,-0.244881,-78.519188,10.166666666666666,55.82590887272039,2822,845.7559876264897
1.0,1.0,380.0,-0.244498,-78.519003,7.611111111111111,47.3104005331633,2825,893.066388159653
,,385.0,-0.244261,-78.5189,3.388888888888889,28.743348621686287,2827,921.8097367813393
,,390.0,-0.244245,-78.518893,0.0,1.942542689386051,2827,923.7522794707254
,,407.0,-0.24424,-78.518896,2.3055555555555554,0.6485742461815976,2829,924.400853716907
,,408.0,-0.244233,-78.518866,3.111111111111111,3.4264993213186172,2830,927.8273530382256
,,410.0,-0.24422,-78.518753,6.666666666666667,12.651760602512343,2831,940.479113640738
,,415.0,-0.244195,-78.51862,7.611111111111111,15.052515420983964,2832,955.5316290617219
,,420.0,-0.244195,-78.51862,0.0,0.0,0,955.5316290617219
,,424.0,-0.243065,-78.518183,10.63888888888889,134.7610619359994,2829,1090.2926909977214
,,429.0,-0.242553,-78.518058,11.11111111111111,58.62231359512217,2830,1148.9150045928436
,,434.0,-0.24205,-78.517883,12.027777777777779,59.23794874362118,2829,1208.1529533364649
,,439.0,-0.241573,-78.517683,10.88888888888889,57.53155874818884,2826,1265.6845120846538
,,444.0,-0.241145,-78.517503,9.86111111111111,51.645081819587936,2823,1317.3295939042416
,,449.0,-0.240718,-78.517328,11.0,51.329098279603095,2820,1368.6586921838448
,,454.0,-0.240225,-78.517143,11.25,58.57002208241668,2816,1427.2287142662615
,,459.0,-0.239743,-78.516936,11.444444444444445,58.347681306494245,2811,1485.5763955727557
,,464.0,-0.23929,-78.516731,10.277777777777779,55.30631702109219,2805,1540.8827125938478
1.0,,469.0,-0.238908,-78.51655,7.694444444444445,47.01805297872926,2801,1587.900765572577
,1.0,474.0,-0.238671,-78.516445,2.9722222222222223,28.832739933981262,2802,1616.7335055065582
,,479.0,-0.23865,-78.516435,0.0,2.5871357795937073,2802,1619.3206412861518
,,490.0,-0.238608,-78.516411,1.4166666666666667,5.38057002144587,2804,1624.7012113075978
,,492.0,-0.238558,-78.516386,3.9444444444444446,6.217925924703963,2803,1630.9191372323016
,,497.0,-0.238281,-78.516235,9.194444444444445,35.0911359143882,2798,1666.0102731466898
,,502.0,-0.237878,-78.516071,9.61111111111111,48.39514504459576,2797,1714.4054181912854
,,507.0,-0.237443,-78.515893,10.75,52.27902206850802,2796,1766.6844402597935
,,509.0,-0.237273,-78.51579,11.11111111111111,22.108959502032498,2795,1788.793399761826
,,512.0,-0.237008,-78.515641,11.25,33.81562911844558,2793,1822.6090288802716
,,517.0,-0.236536,-78.515401,11.0,58.89753756805019,2790,1881.5065664483218
,,522.0,-0.23611,-78.51517,9.666666666666666,53.9018546376121,2785,1935.408421085934
,,527.0,-0.23579,-78.514948,6.833333333333333,43.32015241439803,2783,1978.728573500332
,,532.0,-0.235633,-78.514826,2.1944444444444446,22.11565409489735,2781,2000.8442275952293
1.0,,537.0,-0.235633,-78.514826,0.0,0.0,2781,2000.8442275952293
,1.0,545.0,-0.235583,-78.514856,1.5277777777777777,6.485743552508912,2781,2007.3299711477382
,,550.0,-0.235371,-78.51471,8.166666666666666,28.63161343710998,2779,2035.9615845848482
,,555.0,-0.235065,-78.514523,6.666666666666667,39.88863894347102,2777,2075.850223528319
,,560.0,-0.234825,-78.514396,5.083333333333333,30.202275101914797,2774,2106.052498630234
,,565.0,-0.234611,-78.514316,4.055555555555555,25.41203533109662,2773,2131.4645339613307
,,570.0,-0.23446,-78.514266,3.1666666666666665,17.692523040386355,2769,2149.157057001717
,,575.0,-0.234368,-78.514236,2.5,10.763453508248924,2762,2159.920510509966
,,580.0,-0.234205,-78.51421,4.472222222222222,18.359658638702292,2753,2178.2801691486684
,,585.0,-0.233988,-78.514181,4.777777777777778,24.35145620746959,2749,2202.631625356138
,,587.0,-0.233905,-78.514151,5.194444444444445,9.816614119061416,2748,2212.4482394751994
,,589.0,-0.233833,-78.514103,4.055555555555555,9.625052138498491,2748,2222.073291613698
,,591.0,-0.233795,-78.514055,3.4444444444444446,6.809556916508029,2745,2228.882848530206
,,592.0,-0.233771,-78.51403,3.5277777777777777,3.854702880650013,2745,2232.737551410856
,,597.0,-0.233711,-78.513973,0.0,9.20519843278828,2745,2241.9427498436444
,,622.0,-0.23365,-78.51396,1.8333333333333333,6.937387122219832,2758,2248.880136965864
,,625.0,-0.233566,-78.513911,4.861111111111111,10.816756770580103,2757,2259.696893736444
,,627.0,-0.233455,-78.513885,7.138888888888889,12.680683351145458,2756,2272.3775770875895
,,632.0,-0.233016,-78.513836,11.13888888888889,49.13312204681558,2756,2321.510699134405
,,637.0,-0.232463,-78.513811,12.444444444444445,61.57292057546608,2759,2383.083619709871
,,642.0,-0.23202,-78.513795,11.916666666666666,49.30694376147495,2764,2432.390563471346
