archivo,MeanVel_Int1_Sub1,MeanVel_Int1_Sub2,MeanVel_Int1_Sub3,MeanVel_Int2_Sub1,MeanVel_Int2_Sub2,MeanVel_Int2_Sub3,MeanVel_Int3_Sub1,MeanVel_Int3_Sub2,MeanVel_Int3_Sub3,MeanVel_Int4_Sub1,MeanVel_Int4_Sub2,MeanVel_Int4_Sub3,MeanVel_Int5_Sub1,MeanVel_Int5_Sub2,MeanVel_Int5_Sub3,MeanVel_Int6_Sub1,MeanVel_Int6_Sub2,MeanVel_Int6_Sub3,MeanVel_Int7_Sub1,MeanVel_Int7_Sub2,MeanVel_Int7_Sub3,MeanVel_Int8_Sub1,MeanVel_Int8_Sub2,MeanVel_Int8_Sub3,MeanVel_Int9_Sub1,MeanVel_Int9_Sub2,MeanVel_Int9_Sub3,MeanVel_Int10_Sub1,MeanVel_Int10_Sub2,MeanVel_Int10_Sub3,MeanVel_Int11_Sub1,MeanVel_Int11_Sub2,MeanVel_Int11_Sub3,MeanVel_Int12_Sub1,MeanVel_Int12_Sub2,MeanVel_Int12_Sub3,MeanVel_Int13_Sub1,MeanVel_Int13_Sub2,MeanVel_Int13_Sub3,MeanVel_Int14_Sub1,MeanVel_Int14_Sub2,MeanVel_Int14_Sub3,MeanVel_Int15_Sub1,MeanVel_Int15_Sub2,MeanVel_Int15_Sub3,MeanVel_Int16_Sub1,MeanVel_Int16_Sub2,MeanVel_Int16_Sub3,MeanVel_Int17_Sub1,MeanVel_Int17_Sub2,MeanVel_Int17_Sub3,MeanVel_Int18_Sub1,MeanVel_Int18_Sub2,MeanVel_Int18_Sub3,MeanVel_Int19_Sub1,MeanVel_Int19_Sub2,MeanVel_Int19_Sub3,MeanVel_Int20_Sub1,MeanVel_Int20_Sub2,MeanVel_Int20_Sub3,MeanVel_Int21_Sub1,MeanVel_Int21_Sub2,MeanVel_Int21_Sub3,MeanVel_Int22_Sub1,MeanVel_Int22_Sub2,MeanVel_Int22_Sub3
V1-01.08.2024-C1NS.M07.csv,4.908496732026144,6.823529411764706,7.444444444444445,5.469444444444445,11.074074074074074,8.598765432098766,5.893518518518519,11.592592592592593,8.522222222222222,6.015873015873017,9.84126984126984,6.712962962962963,2.548611111111111,9.965277777777779,9.601851851851853,3.513888888888889,8.770833333333334,8.87962962962963,6.82936507936508,10.646825396825397,5.646825396825397,7.4375,4.486111111111111,3.3981481481481484,7.106481481481482,1.4907407407407407,7.092592592592593,3.9444444444444446,6.024305555555555,2.9027777777777777,4.601010101010101,6.78030303030303,3.830808080808081,3.355555555555555,9.569444444444445,6.916666666666666,5.26984126984127,5.690476190476191,2.305555555555556,4.294444444444444,3.6888888888888887,8.272222222222222,4.1,5.838888888888889,5.9375,3.3253968253968256,6.115079365079365,3.2698412698412698,7.833333333333333,8.685185185185185,5,7.440972222222222,2.798611111111111,4.51984126984127,5.372222222222222,8.381944444444445,9.083333333333334,3.954861111111111,8.996031746031747,6.142857142857142,6.786324786324786,5.155982905982906,4.005341880341881,NA,NA,NA
V1-01.08.2024-C1NS.M31.csv,4.314814814814815,6.92037037037037,9.703703703703704,4.231481481481482,12.564814814814815,11.041666666666666,6.591269841269841,12.01388888888889,4.4907407407407405,3.1984126984126986,12.444444444444445,10.041666666666666,1.1722222222222223,9.256944444444445,11.5625,3.2444444444444445,9.377777777777778,3.770833333333333,7.310185185185184,12.094444444444445,10.233333333333334,2.787037037037037,11.069444444444446,10.916666666666664,1.1444444444444444,9.566666666666666,11.527777777777779,2.8425925925925926,9.75462962962963,5.3388888888888895,6.62962962962963,10.21111111111111,10.116666666666667,4.888888888888888,6.155555555555555,6.855555555555555,5.226851851851852,6.106481481481481,5.416666666666667,2.55,8.618055555555555,8.756944444444445,2.1277777777777778,8.872222222222222,3.2555555555555555,2.996913580246914,7.930555555555555,1.9479166666666667,7.178571428571429,7.25,6.296296296296296,9.125,4.013888888888889,5.319444444444445,5.977777777777778,8.994444444444444,8.938888888888888,3.5476190476190474,9.55952380952381,5.194444444444445,6.46011396011396,2.8846153846153846,1.3354700854700854,1.1666666666666667,2.7222222222222223,0
V1-01.08.2024-C1NS.T10.csv,5.3657407407407405,7.455882352941177,6.439542483660131,4.292929292929293,11.255050505050505,5.861111111111111,8.422222222222222,10.933333333333334,9.86111111111111,7.281249999999999,6.763888888888889,5.5396825396825395,6.851851851851852,11.12037037037037,9.981481481481481,1.1,8.284722222222221,9.618055555555555,7.531746031746032,10.09920634920635,5.962962962962963,4.518518518518519,7.861111111111111,5.222222222222222,4.383333333333333,10.466666666666667,3.7083333333333335,4.282407407407407,8.421296296296296,4.266666666666667,5.4375,7.527777777777778,4.579861111111111,3.1166666666666667,9.872222222222222,5.788888888888889,5.294444444444444,7.55,6.055555555555555,2.1840277777777777,3.1979166666666665,4.873015873015873,4.2,8.17361111111111,3.4791666666666665,2.2037037037037037,4.540123456790123,5.229166666666666,5.579365079365079,5.773148148148148,6.518518518518518,7.333333333333333,5.003472222222222,3.9801587301587302,5.122222222222223,8.744444444444445,7.951388888888889,4.185185185185185,6.166666666666666,5.552083333333333,5.249158249158249,4.441919191919192,3.256076388888889,NA,NA,NA
V1-01.08.2024-C1NS.T81.csv,4.302287581699346,8.953125,5.845486111111112,6.805555555555555,12.916666666666666,9.34920634920635,4.567460317460317,12.797619047619047,3.7976190476190474,6.027777777777778,10.341269841269842,7.1309523809523805,8.783333333333333,3.25,7.208333333333334,2.7222222222222223,11.462962962962964,9.61111111111111,7.756944444444445,7.451388888888888,4.850694444444445,2.3518518518518516,11.416666666666668,6.055555555555555,1.9277777777777778,10.3125,9.3125,4.0740740740740735,7.486111111111111,1.8101851851851851,2.0401234567901234,8.182098765432098,3.7098765432098766,4.55,9.533333333333333,1.8888888888888888,4.455555555555556,7.538888888888889,4.6722222222222225,1.6984126984126984,4.865079365079365,5.682539682539683,3.9285714285714284,7.166666666666667,1.4285714285714286,4.138888888888889,5.578703703703704,4.532407407407407,7.01984126984127,8.61574074074074,2.6805555555555554,7.753968253968253,4.015873015873016,4.496031746031746,5.157407407407407,7.402777777777778,6.55,4.416666666666667,8.293650793650794,3.6666666666666665,6,6.052777777777778,3.948611111111111,NA,NA,NA
V1-01.08.2024-C1NS.V12.csv,6.342013888888889,8.855555555555556,6.911111111111111,9.829365079365079,14.126984126984127,9.527777777777779,1.8935185185185186,12.7,12.65,5.1759259259259265,13.180555555555555,10.855555555555556,6.597222222222222,7.905555555555556,6.155555555555556,2.185185185185185,9.907407407407407,12.092592592592593,5.365740740740741,14.049999999999999,11.044444444444444,1.8425925925925928,10.972222222222221,7.666666666666667,3.763888888888889,8.325396825396826,5.1230158730158735,5.305555555555555,7.277777777777778,4.911111111111111,8.26010101010101,3.0858585858585856,2.207070707070707,5.875,12.284722222222223,2.9097222222222223,7.949999999999999,8.666666666666666,1.8388888888888888,2.638888888888889,7.433333333333334,4.694444444444445,4.976851851851852,7.763888888888888,2.661111111111111,3.475308641975309,6.114197530864198,6.632716049382716,8.555555555555555,13.291666666666668,7.645833333333333,8.60763888888889,2.392361111111111,4.340277777777778,5.0777777777777775,10.561111111111112,10.111111111111112,4.144444444444444,11.138888888888888,8.588888888888889,7.708333333333334,5.234126984126984,3.202380952380952,NA,NA,NA
V1-01.08.2024-C1NS.V15.csv,5.300653594771242,6.5473856209150325,8.465277777777779,4.575,10.455555555555556,7.941666666666666,6.907407407407407,9.643518518518519,9.033333333333333,4.288194444444445,9.729166666666666,5.333333333333333,2.3722222222222222,8.088888888888889,6.638888888888889,4.566666666666666,7.627777777777778,3.5416666666666665,4.996031746031746,10.035714285714286,7.329365079365079,2.5925925925925926,8.435185185185185,9.11111111111111,2.845238095238095,5.277777777777778,6.819444444444445,4.259259259259259,8.597222222222221,1.9444444444444444,8.101851851851851,9.532407407407407,5.611111111111111,5.388888888888888,8,5.838888888888889,5.658730158730159,3.930555555555556,5.449074074074074,2.3333333333333335,6.373015873015873,3.0912698412698414,3.5347222222222223,6.958333333333333,6.013888888888888,1.9012345679012346,4.450617283950617,4.715277777777778,6.935185185185185,7.712962962962963,4.935185185185185,6.944444444444445,4.423611111111111,4.256944444444445,5.347222222222222,7.394444444444445,7.622222222222222,4.819444444444445,8.003968253968255,3.873015873015873,5.815104166666667,4.177083333333333,3.270609318996416,NA,NA,NA
V1-01.08.2024-C1NS.V42.csv,4.3734567901234565,6.430555555555555,7.256172839506173,8.246031746031745,15.652777777777779,11.61111111111111,9.988888888888889,11.922222222222222,8.756944444444445,7.944444444444445,9.908730158730158,6.333333333333333,5.319444444444445,10.097222222222223,8.212962962962964,2.013888888888889,11.314814814814815,10.935185185185185,10.194444444444443,11.894444444444446,6.983333333333333,5.1875,7.027777777777778,3.75,8.18888888888889,9.993055555555555,5.5625,7.588888888888889,6.840277777777778,5.291666666666666,4.904761904761905,9.579365079365079,4.5396825396825395,5.833333333333333,7.555555555555555,3.0833333333333335,5.481481481481481,7.699074074074074,4.227777777777778,1.238888888888889,8.82638888888889,9.180555555555555,1.972222222222222,11.625,6.305555555555555,4.975925925925925,5.546296296296296,7.2976190476190474,7.527777777777778,9.097222222222221,5.25462962962963,7.642857142857142,6.171296296296297,5.3842592592592595,5.9222222222222225,7.8,7.1499999999999995,3.4007936507936507,8.242063492063492,5.642857142857143,5.502136752136752,4.2414529914529915,1.1096491228070176,NA,NA,NA
V1-01.08.2024-C1NS.V43.csv,5.039930555555555,6.128472222222222,10.10925925925926,6.329861111111112,13.20138888888889,8.180555555555555,5.694444444444445,13.288888888888888,11.561111111111112,5.523809523809524,11.550925925925927,8.069444444444445,5.574074074074074,12.63888888888889,10.083333333333334,1.6018518518518519,10.564814814814815,11.472222222222223,8.055555555555555,10.547619047619047,2.9007936507936507,4.37962962962963,11.444444444444446,8.833333333333336,2.4722222222222223,10.270833333333332,9.8125,4.527777777777778,8.811111111111112,4.894444444444445,5.503472222222222,10.873015873015873,3.071428571428571,2.8666666666666667,9.322222222222223,6.340277777777778,6.023148148148148,6.50462962962963,3,4.263888888888889,3.263888888888889,7.194444444444445,3.015873015873016,5.680555555555555,3.4537037037037037,2.5317460317460316,6.314814814814815,5.231481481481482,7.685185185185185,9.283333333333333,5.627777777777778,8.067460317460318,3.4007936507936507,4.185185185185185,5.476851851851852,8.55,7.8388888888888895,3.944444444444444,6.364197530864198,3.814814814814815,5.0248538011695905,4.201754385964913,1.936936936936937,NA,NA,NA
V1-01.08.2024-C1NS.V48.csv,6.888888888888889,8.38888888888889,7.46031746031746,8.180555555555555,11.505555555555556,3.8333333333333335,4.603174603174603,13.171296296296296,6.296296296296296,5.513888888888889,13.36111111111111,10.046296296296296,4.537037037037037,12.879629629629628,11.712962962962962,5.583333333333333,6.166666666666667,3.4722222222222223,6.041666666666667,13.064814814814815,9.31111111111111,5.784722222222222,10.62037037037037,4.444444444444445,2.3402777777777777,12.118055555555555,12.63888888888889,3.555555555555556,12.211111111111112,2.7333333333333334,4.967592592592592,10.814814814814815,9.066666666666666,5.847222222222222,12.645833333333334,7.451388888888889,6.979166666666666,12.037037037037036,11.25,3.572222222222222,2.7555555555555555,8.344444444444443,2.555555555555556,8.222222222222221,7.5,3.0868055555555554,6.408730158730158,6.968253968253968,10.455555555555556,11.6875,5.583333333333334,8.635416666666666,3.607638888888889,2.5515873015873014,5.537037037037037,7.453703703703703,7.061111111111111,3.376543209876543,6.84375,7.083333333333333,6.756535947712418,3.247549019607843,2.2053872053872055,NA,NA,NA
V1-01.08.2024-C1NS.V49.csv,6.431286549707602,8.776315789473685,10.67251461988304,9.328282828282829,13.97979797979798,10.005050505050505,2.8364197530864197,12.93827160493827,11.253086419753085,5.9393939393939394,10.787878787878789,8.872222222222222,4.2592592592592595,10.435185185185183,9.911111111111111,3.9047619047619047,7.849206349206349,7.944444444444445,6.316666666666666,12.981481481481481,9.330246913580247,4.645833333333333,11.009259259259258,11.87037037037037,1.5432098765432098,4.561728395061729,11.319444444444445,5.159722222222222,10.166666666666668,6.134920634920634,4.583333333333333,11.700617283950617,8.820987654320987,6.678571428571429,7.55952380952381,6.654761904761905,6.416666666666667,5.313492063492063,8.115079365079366,3.6018518518518516,3.8580246913580245,7.145061728395062,6.2555555555555555,10.965277777777779,9.145833333333334,4.725694444444445,9.4375,4.567460317460317,9.126984126984127,12.313492063492063,6.869047619047619,7.461111111111111,6.589506172839506,5.864197530864198,6.305555555555555,9.439814814814815,11.777777777777779,5.763888888888889,10.376543209876544,7.212962962962963,7.167312661498707,5.134366925064599,1.8544973544973544,NA,NA,NA
