archivo,Intervalo_1,Intervalo_2,Intervalo_3,Intervalo_4,Intervalo_5,Intervalo_6,Intervalo_7,Intervalo_8,Intervalo_9,Intervalo_10,Intervalo_11,Intervalo_12,Intervalo_13,Intervalo_14,Intervalo_15,Intervalo_16,Intervalo_17,Intervalo_18,Intervalo_19,Intervalo_20,Intervalo_21,Intervalo_22
V1-01.08.2024-C1NS.M07.csv,6.392156862745098,8.276785714285714,8.678104575163399,7.563888888888888,7.16919191919192,6.888888888888889,7.707671957671958,5.262626262626263,5.229938271604938,4.2905092592592595,5.070707070707071,6.363247863247863,4.421957671957672,5.4185185185185185,5.246031746031746,4.2367724867724865,7.300653594771242,4.93719806763285,7.44017094017094,6.255050505050505,5.3158831908831905,0
V1-01.08.2024-C1NS.M31.csv,6.979629629629629,9.211538461538462,7.640350877192982,8.279239766081872,6.8568376068376065,5.5853174603174605,9.71875,7.476190476190476,7.119047619047619,6.016339869281046,8.838541666666666,5.966666666666666,5.5931372549019605,6.326923076923077,4.7518518518518515,4.24,6.9225146198830405,6.152777777777778,7.970370370370371,6.1005291005291005,3.560066476733143,1.2962962962962963
V1-01.08.2024-C1NS.T10.csv,6.400106837606837,7.136363636363637,9.738888888888889,6.571256038647343,9.317901234567902,5.931623931623932,7.959722222222222,5.867283950617284,6.363095238095238,5.738562091503268,5.84837962962963,6.2592592592592595,6.317460317460317,3.3550724637681157,5.200854700854701,3.943376068376068,5.937134502923977,5.502415458937198,7.22420634920635,5.291666666666667,4.326530612244898,0
V1-01.08.2024-C1NS.T81.csv,6.324829931972789,9.559343434343434,7.054232804232805,7.751262626262626,6.596153846153847,7.932098765432099,6.686342592592593,6.677083333333334,6.77991452991453,4.45679012345679,4.6440329218107,5.569444444444445,5.555555555555555,4.082010582010582,4.174603174603175,4.75,6.1535087719298245,5.421957671957672,6.359477124183006,5.411616161616162,5.333796296296296,0
V1-01.08.2024-C1NS.V12.csv,7.347222222222222,11.243055555555555,8.631944444444445,9.67156862745098,6.868055555555555,8.061728395061728,9.854166666666666,6.722222222222222,5.6477272727272725,5.8314814814814815,4.517676767676767,7.023148148148148,6.151851851851852,4.9222222222222225,5.279411764705882,5.407407407407407,9.732905982905983,5.113425925925926,8.47420634920635,7.957407407407407,5.41796875,0
V1-01.08.2024-C1NS.V15.csv,6.737222222222222,7.657407407407407,8.498366013071895,6.450231481481482,5.7,5.367063492063492,7.453703703703703,6.413194444444445,4.888888888888888,5.109477124183006,7.874183006535947,6.409259259259259,5.046783625730995,3.9325396825396823,5.502314814814815,3.6495726495726495,6.527777777777778,5.208333333333333,6.697916666666667,5.531565656565657,4.433040935672515,0
V1-01.08.2024-C1NS.V42.csv,6.020061728395062,11.647660818713451,10.327380952380953,8.056818181818182,7.845959595959596,7.480555555555555,9.722222222222221,5.308333333333334,7.935897435897436,6.651709401709401,6.341269841269842,5.512152777777778,5.895424836601308,6.017094017094017,6.6342592592592595,5.909090909090909,7.29320987654321,6.464912280701754,6.957407407407407,5.761904761904762,3.639367816091954,0
V1-01.08.2024-C1NS.V43.csv,7.028368794326241,9.237268518518519,9.901041666666666,8.230994152046783,9.432098765432098,7.87962962962963,7.208333333333333,7.670634920634921,7.518518518518518,6.0777777777777775,6.438131313131313,6.1646825396825395,5.175925925925926,4.907407407407407,3.9956140350877196,4.578947368421053,7.541666666666667,5.269444444444445,7.175347222222222,4.680555555555555,3.7369714847590956,0
V1-01.08.2024-C1NS.V48.csv,7.5633074935400515,7.977969348659005,7.843567251461988,9.640432098765432,9.709876543209877,5.105902777777778,9.48202614379085,6.833333333333333,8.704545454545455,6.166666666666667,8.236928104575163,8.648148148148149,9.777777777777777,4.890740740740741,5.9646464646464645,5.378787878787879,9.335470085470085,5.0350241545893715,6.661764705882353,5.6722222222222225,4.088283828382838,0
V1-01.08.2024-C1NS.V49.csv,8.626705653021443,11.104377104377104,9.00925925925926,8.522569444444445,8.101307189542483,6.497222222222222,9.427579365079364,8.722222222222221,5.596153846153846,7.063131313131313,8.368312757201647,6.964285714285714,6.606060606060606,4.868312757201646,8.594017094017094,6.316425120772947,9.436507936507937,6.66765873015873,9.174382716049383,7.712301587301588,4.741102430555555,0
