archivo,Intervalo_1,Intervalo_2,Intervalo_3,Intervalo_4,Intervalo_5,Intervalo_6,Intervalo_7,Intervalo_8,Intervalo_9,Intervalo_10,Intervalo_11,Intervalo_12,Intervalo_13,Intervalo_14,Intervalo_15,Intervalo_16,Intervalo_17,Intervalo_18,Intervalo_19,Intervalo_20,Intervalo_21,Intervalo_22
V1-01.08.2024-C1NS.M07.csv,11.25,12.27777777777778,12.166666666666666,10.694444444444445,10.833333333333334,10.11111111111111,11.916666666666666,9.305555555555555,10.166666666666666,9,10.833333333333334,10.333333333333334,8.36111111111111,9.305555555555555,8.11111111111111,8.833333333333334,9.666666666666666,9.36111111111111,9.38888888888889,10.27777777777778,11.416666666666666,0
V1-01.08.2024-C1NS.M31.csv,12.5,13.416666666666666,12.75,13.36111111111111,12.444444444444445,12.13888888888889,13.416666666666666,11.72222222222222,11.77777777777778,10.416666666666666,11.36111111111111,11.416666666666666,8.777777777777779,9.555555555555555,10.694444444444445,11.25,12.333333333333334,12.27777777777778,9.666666666666666,10.416666666666666,11.555555555555555,2.7222222222222223
V1-01.08.2024-C1NS.T10.csv,11.194444444444445,12.083333333333334,11.666666666666666,11.055555555555555,11.13888888888889,11.36111111111111,11.305555555555555,8.472222222222221,10.77777777777778,9.5,10.694444444444445,10.416666666666666,8.11111111111111,6.833333333333333,9.194444444444445,9.72222222222222,10.75,10.38888888888889,9.36111111111111,8.63888888888889,9.5,0
V1-01.08.2024-C1NS.T81.csv,12.88888888888889,13.36111111111111,14.38888888888889,11.055555555555555,12.333333333333334,12.083333333333334,13.72222222222222,12.52777777777778,11.36111111111111,9.666666666666666,10.11111111111111,10.75,9.02777777777778,7.611111111111111,9.5,9.5,9.97222222222222,10.22222222222222,8.472222222222221,8.833333333333334,13.11111111111111,0
V1-01.08.2024-C1NS.V12.csv,14.333333333333334,15.47222222222222,16.083333333333332,14.333333333333334,14.02777777777778,14.083333333333334,14.944444444444445,13.555555555555555,10.88888888888889,13.194444444444445,10.11111111111111,13.416666666666666,10.583333333333334,10.02777777777778,11.72222222222222,11.055555555555555,14.5,12.444444444444445,13.52777777777778,13.166666666666666,14.02777777777778,0
V1-01.08.2024-C1NS.V15.csv,11.194444444444445,11.13888888888889,10.63888888888889,10.38888888888889,8.666666666666666,9.194444444444445,10.38888888888889,9.555555555555555,9.5,9,9.86111111111111,8.472222222222221,8.055555555555555,7.083333333333333,7.444444444444445,8.833333333333334,8.722222222222221,10.22222222222222,7.861111111111111,8.527777777777779,11.36111111111111,0
V1-01.08.2024-C1NS.V42.csv,12.22222222222222,16.555555555555557,14.25,10.88888888888889,10.75,12.944444444444445,13.11111111111111,10.416666666666666,10.055555555555555,8.472222222222221,10.27777777777778,8.222222222222221,8.166666666666666,10.11111111111111,13.25,9.916666666666666,9.36111111111111,10.11111111111111,8.222222222222221,9.38888888888889,10.416666666666666,0
V1-01.08.2024-C1NS.V43.csv,13.36111111111111,13.88888888888889,14.194444444444445,12.63888888888889,13.11111111111111,13.833333333333334,14.555555555555555,11.77777777777778,11.555555555555555,9.61111111111111,11.916666666666666,11.61111111111111,9.194444444444445,9,7.972222222222222,9.194444444444445,10.38888888888889,11.36111111111111,8.833333333333334,7.916666666666667,10.944444444444445,0
V1-01.08.2024-C1NS.V48.csv,13.916666666666666,14.02777777777778,15.11111111111111,13.88888888888889,13.97222222222222,13.916666666666666,13.97222222222222,12.5,13.88888888888889,13.77777777777778,13.555555555555555,13.833333333333334,13.97222222222222,10.47222222222222,9.555555555555555,11.25,12.805555555555555,13.97222222222222,8.166666666666666,13.166666666666666,13.916666666666666,0
V1-01.08.2024-C1NS.V49.csv,13.97222222222222,14.86111111111111,14.944444444444445,11.25,10.833333333333334,11.97222222222222,13.833333333333334,12.63888888888889,13.305555555555555,11.416666666666666,12.22222222222222,10.833333333333334,10.416666666666666,9.72222222222222,11.555555555555555,12.88888888888889,14.333333333333334,11.97222222222222,12.75,12.38888888888889,12.805555555555555,0
V2-01.08.2024-C1NS.M07.csv,13.666666666666666,16.305555555555557,14.25,12.63888888888889,12.22222222222222,13.666666666666666,16.86111111111111,13.416666666666666,12.22222222222222,13.25,12.444444444444445,10.944444444444445,8.527777777777779,7.194444444444445,8.11111111111111,11.86111111111111,11.86111111111111,9.61111111111111,10.47222222222222,11.11111111111111,10.944444444444445,0
V2-01.08.2024-C1NS.M31.csv,11.666666666666666,12.333333333333334,12.805555555555555,12.333333333333334,12.02777777777778,11.305555555555555,13.055555555555555,11.444444444444445,10.166666666666666,10.77777777777778,10.88888888888889,10.166666666666666,9.36111111111111,8.63888888888889,8.944444444444445,11.666666666666666,10.88888888888889,11.72222222222222,10.944444444444445,11.61111111111111,12.38888888888889,0
V2-01.08.2024-C1NS.T10.csv,9.97222222222222,11.86111111111111,11.11111111111111,11.25,11.36111111111111,11,10.77777777777778,10.944444444444445,11.055555555555555,9.805555555555555,9.75,9.61111111111111,7.75,7.805555555555555,8,10.38888888888889,8.472222222222221,8.277777777777779,9.13888888888889,9.25,10.02777777777778,0
V2-01.08.2024-C1NS.T81.csv,12.63888888888889,14.25,15.63888888888889,12.38888888888889,11.11111111111111,11.36111111111111,12.88888888888889,10.22222222222222,11.055555555555555,9.666666666666666,11.194444444444445,10.63888888888889,6.944444444444445,6.888888888888889,7.611111111111111,8.055555555555555,9.61111111111111,8.36111111111111,9.75,10.583333333333334,11.666666666666666,0
V2-01.08.2024-C1NS.V12.csv,14.194444444444445,14.75,16.02777777777778,14.02777777777778,13.88888888888889,12.13888888888889,15.583333333333334,12.694444444444445,13.88888888888889,12.38888888888889,12.583333333333334,12.86111111111111,10.38888888888889,8.222222222222221,8.88888888888889,9.38888888888889,12.5,12.694444444444445,13.77777777777778,13,13.833333333333334,0
V2-01.08.2024-C1NS.V15.csv,12.083333333333334,11.77777777777778,11,11,10.88888888888889,11.77777777777778,11.36111111111111,10.944444444444445,11.5,11.11111111111111,11.36111111111111,10.52777777777778,9.305555555555555,6.611111111111111,8.277777777777779,10.75,11.916666666666666,11.305555555555555,9,11.61111111111111,11.77777777777778,0
V2-01.08.2024-C1NS.V42.csv,13.194444444444445,16.444444444444443,14.13888888888889,12.86111111111111,10.22222222222222,10.75,11.72222222222222,11.13888888888889,11.77777777777778,9.86111111111111,12.38888888888889,11.5,9.13888888888889,8.666666666666666,9.666666666666666,11.666666666666666,9.805555555555555,9.666666666666666,10.416666666666666,13.166666666666666,12.805555555555555,0
V2-01.08.2024-C1NS.V43.csv,11.666666666666666,13.194444444444445,13.77777777777778,11.666666666666666,12.083333333333334,10.11111111111111,13.666666666666666,9.36111111111111,11.055555555555555,9.25,11.305555555555555,11.305555555555555,11.36111111111111,9.555555555555555,10.944444444444445,11.555555555555555,12.02777777777778,11.13888888888889,10.77777777777778,10.52777777777778,12.27777777777778,0
V2-01.08.2024-C1NS.V48.csv,14.083333333333334,15.416666666666666,15.72222222222222,13.97222222222222,13.88888888888889,13.97222222222222,13.97222222222222,13.72222222222222,13.666666666666666,13.055555555555555,13.72222222222222,13.666666666666666,12.083333333333334,10.416666666666666,9.194444444444445,13.666666666666666,12.444444444444445,14.444444444444445,11.416666666666666,9.805555555555555,12.333333333333334,0
