archivo,Speed_1_media,Speed_1_maximo,Speed_1_desviacion,Speed_2_media,Speed_2_maximo,Speed_2_desviacion,Speed_3_media,Speed_3_maximo,Speed_3_desviacion,Speed_4_media,Speed_4_maximo,Speed_4_desviacion,Speed_5_media,Speed_5_maximo,Speed_5_desviacion,Speed_6_media,Speed_6_maximo,Speed_6_desviacion,Speed_7_media,Speed_7_maximo,Speed_7_desviacion,Speed_8_media,Speed_8_maximo,Speed_8_desviacion,Speed_9_media,Speed_9_maximo,Speed_9_desviacion,Speed_10_media,Speed_10_maximo,Speed_10_desviacion,Speed_11_media,Speed_11_maximo,Speed_11_desviacion,Speed_12_media,Speed_12_maximo,Speed_12_desviacion,Speed_13_media,Speed_13_maximo,Speed_13_desviacion,Speed_14_media,Speed_14_maximo,Speed_14_desviacion,Speed_15_media,Speed_15_maximo,Speed_15_desviacion,Speed_16_media,Speed_16_maximo,Speed_16_desviacion,Speed_17_media,Speed_17_maximo,Speed_17_desviacion,Speed_18_media,Speed_18_maximo,Speed_18_desviacion,Speed_19_media,Speed_19_maximo,Speed_19_desviacion,Speed_20_media,Speed_20_maximo,Speed_20_desviacion,Speed_21_media,Speed_21_maximo,Speed_21_desviacion,Speed_22_media,Speed_22_maximo,Speed_22_desviacion
V1-01.08.2024-C1NS.M07.csv,6.392156862745098,11.25,2.532441650204815,8.276785714285714,12.27777777777778,4.0997819802102935,8.678104575163399,12.166666666666666,3.539406397812261,7.563888888888888,10.694444444444445,3.5875762540770353,7.16919191919192,10.833333333333334,4.148022259393264,6.888888888888889,10.11111111111111,3.3335879532382684,7.707671957671958,11.916666666666666,3.9566089718524684,5.262626262626263,9.305555555555555,2.83699011398458,5.229938271604938,10.166666666666666,3.3915237474177884,4.2905092592592595,9,2.71994111227275,5.070707070707071,10.833333333333334,3.6886447461271348,6.363247863247863,10.333333333333334,3.5456216395741023,4.421957671957672,8.36111111111111,3.078607728145592,5.4185185185185185,9.305555555555555,3.035984702829418,5.246031746031746,8.11111111111111,2.3409231754277298,4.2367724867724865,8.833333333333334,2.806952609362184,7.300653594771242,9.666666666666666,2.708836051884884,4.93719806763285,9.36111111111111,3.3524202837128425,7.44017094017094,9.38888888888889,2.3016713754591005,6.255050505050505,10.27777777777778,3.521493135150756,5.3158831908831905,11.416666666666666,2.804192977642474,0,0,0
V1-01.08.2024-C1NS.M31.csv,6.979629629629629,12.5,3.601075799477185,9.211538461538462,13.416666666666666,4.5435347970541375,7.640350877192982,12.75,4.656675386882491,8.279239766081872,13.36111111111111,5.111333141348005,6.8568376068376065,12.444444444444445,5.2111763370741,5.5853174603174605,12.13888888888889,4.572286146307695,9.71875,13.416666666666666,3.771398139953027,7.476190476190476,11.72222222222222,4.893317348560314,7.119047619047619,11.77777777777778,4.8539865809304,6.016339869281046,10.416666666666666,4.26613968397606,8.838541666666666,11.36111111111111,2.9447277772484783,5.966666666666666,11.416666666666666,4.056387172835398,5.5931372549019605,8.777777777777779,2.8323619858744875,6.326923076923077,9.555555555555555,3.4959955385151935,4.7518518518518515,10.694444444444445,3.629159212578174,4.24,11.25,3.1287413817292182,6.9225146198830405,12.333333333333334,4.1998021842844055,6.152777777777778,12.27777777777778,3.4432352136302633,7.970370370370371,9.666666666666666,2.253120182878624,6.1005291005291005,10.416666666666666,3.817211227834676,3.560066476733143,11.555555555555555,3.0573465607553807,1.2962962962962963,2.7222222222222223,1.365732893888318
V1-01.08.2024-C1NS.T10.csv,6.400106837606837,11.194444444444445,3.2129131720385162,7.136363636363637,12.083333333333334,4.538976031673388,9.738888888888889,11.666666666666666,2.4832285763210553,6.571256038647343,11.055555555555555,4.247200058795556,9.317901234567902,11.13888888888889,3.22913264949559,5.931623931623932,11.36111111111111,4.6463902448774475,7.959722222222222,11.305555555555555,3.5968620696223867,5.867283950617284,8.472222222222221,2.479342811116344,6.363095238095238,10.77777777777778,4.285062399546799,5.738562091503268,9.5,3.2874454125099004,5.84837962962963,10.694444444444445,3.5790004808895888,6.2592592592592595,10.416666666666666,3.8997250766090485,6.317460317460317,8.11111111111111,1.6773062918530206,3.3550724637681157,6.833333333333333,2.3181619045533557,5.200854700854701,9.194444444444445,3.37127621589164,3.943376068376068,9.72222222222222,2.715245944902697,5.937134502923977,10.75,3.3594251728350555,5.502415458937198,10.38888888888889,3.3805879566879957,7.22420634920635,9.36111111111111,2.3418004769007985,5.291666666666667,8.63888888888889,2.8705319548306205,4.326530612244898,9.5,2.462171033338542,0,0,0
V1-01.08.2024-C1NS.T81.csv,6.324829931972789,12.88888888888889,4.022075321845653,9.559343434343434,13.36111111111111,3.748204503085933,7.054232804232805,14.38888888888889,5.40307037332864,7.751262626262626,11.055555555555555,3.798829429153075,6.596153846153847,12.333333333333334,4.1748933505854104,7.932098765432099,12.083333333333334,4.438996468048499,6.686342592592593,13.72222222222222,4.561681982541172,6.677083333333334,12.52777777777778,4.745831213911295,6.77991452991453,11.36111111111111,4.389877138187628,4.45679012345679,9.666666666666666,3.334275768491108,4.6440329218107,10.11111111111111,3.8628327115316585,5.569444444444445,10.75,4.153937107705993,5.555555555555555,9.02777777777778,2.6305423559448258,4.082010582010582,7.611111111111111,2.8138008129036494,4.174603174603175,9.5,3.372766097194479,4.75,9.5,2.514337969493481,6.1535087719298245,9.97222222222222,3.4191420374178843,5.421957671957672,10.22222222222222,3.4738953640816366,6.359477124183006,8.472222222222221,1.9357312363522934,5.411616161616162,8.833333333333334,3.0882526223621154,5.333796296296296,13.11111111111111,3.24936813463709,0,0,0
V1-01.08.2024-C1NS.V12.csv,7.347222222222222,14.333333333333334,4.085928670466137,11.243055555555555,15.47222222222222,4.54177843809743,8.631944444444445,16.083333333333332,5.72177722110021,9.67156862745098,14.333333333333334,4.889719737778023,6.868055555555555,14.02777777777778,4.96354508747437,8.061728395061728,14.083333333333334,4.974777776261211,9.854166666666666,14.944444444444445,4.957219244066663,6.722222222222222,13.555555555555555,5.052633029332383,5.6477272727272725,10.88888888888889,3.664395103278352,5.8314814814814815,13.194444444444445,4.48933758693081,4.517676767676767,10.11111111111111,3.4254757302710006,7.023148148148148,13.416666666666666,4.825749206694331,6.151851851851852,10.583333333333334,3.8616801377359824,4.9222222222222225,10.02777777777778,3.827566400503661,5.279411764705882,11.72222222222222,3.6123458170704015,5.407407407407407,11.055555555555555,2.684458099812441,9.732905982905983,14.5,4.374030440207808,5.113425925925926,12.444444444444445,3.9358697424849507,8.47420634920635,13.52777777777778,4.0602429340483255,7.957407407407407,13.166666666666666,4.469742813970986,5.41796875,14.02777777777778,3.786393166851472,0,0,0
V1-01.08.2024-C1NS.V15.csv,6.737222222222222,11.194444444444445,2.9322911057307723,7.657407407407407,11.13888888888889,3.813376987279417,8.498366013071895,10.63888888888889,2.2018920426619752,6.450231481481482,10.38888888888889,3.416013440232696,5.7,8.666666666666666,3.0264705201808604,5.367063492063492,9.194444444444445,3.3230642847638245,7.453703703703703,10.38888888888889,3.2729523489029444,6.413194444444445,9.555555555555555,3.494781871689252,4.888888888888888,9.5,3.597477637752048,5.109477124183006,9,3.460138286629576,7.874183006535947,9.86111111111111,2.627003895013366,6.409259259259259,8.472222222222221,2.402404243528538,5.046783625730995,8.055555555555555,2.5827699609976236,3.9325396825396823,7.083333333333333,2.531431599621568,5.502314814814815,7.444444444444445,2.2887901546976575,3.6495726495726495,8.833333333333334,2.6533821524807757,6.527777777777778,8.722222222222221,2.1975963960919196,5.208333333333333,10.22222222222222,2.952409243911138,6.697916666666667,7.861111111111111,1.3575681401476807,5.531565656565657,8.527777777777779,2.7445137334416962,4.433040935672515,11.36111111111111,2.8844485752306546,0,0,0
V1-01.08.2024-C1NS.V42.csv,6.020061728395062,12.22222222222222,3.314202687782249,11.647660818713451,16.555555555555557,4.676934733784418,10.327380952380953,14.25,2.1643692227553966,8.056818181818182,10.88888888888889,2.6453135003331125,7.845959595959596,10.75,2.953507112717173,7.480555555555555,12.944444444444445,5.097338697495211,9.722222222222221,13.11111111111111,3.6586050547308404,5.308333333333334,10.416666666666666,3.521914783871973,7.935897435897436,10.055555555555555,2.189821214521165,6.651709401709401,8.472222222222221,1.5721099695161207,6.341269841269842,10.27777777777778,3.5059709084049757,5.512152777777778,8.222222222222221,2.5976201665823644,5.895424836601308,8.166666666666666,2.425203023267704,6.017094017094017,10.11111111111111,4.136846041675101,6.6342592592592595,13.25,4.397412662232229,5.909090909090909,9.916666666666666,1.4873179508500824,7.29320987654321,9.36111111111111,2.5464319631119166,6.464912280701754,10.11111111111111,2.341674576844407,6.957407407407407,8.222222222222221,1.0702232098907356,5.761904761904762,9.38888888888889,2.976134126450678,3.639367816091954,10.416666666666666,2.879641886783278,0,0,0
V1-01.08.2024-C1NS.V43.csv,7.028368794326241,13.36111111111111,3.866648313654205,9.237268518518519,13.88888888888889,4.44995868043283,9.901041666666666,14.194444444444445,4.534923567647342,8.230994152046783,12.63888888888889,4.392160179433582,9.432098765432098,13.11111111111111,4.106630232388749,7.87962962962963,13.833333333333334,5.265317894568589,7.208333333333333,14.555555555555555,5.190525995667395,7.670634920634921,11.77777777777778,3.9734337886641953,7.518518518518518,11.555555555555555,4.051979420492259,6.0777777777777775,9.61111111111111,3.5479084431517753,6.438131313131313,11.916666666666666,4.404449107926079,6.1646825396825395,11.61111111111111,3.9559010263659187,5.175925925925926,9.194444444444445,2.780864298282307,4.907407407407407,9,2.729365710614889,3.9956140350877196,7.972222222222222,2.4779594816197608,4.578947368421053,9.194444444444445,2.8609052898205034,7.541666666666667,10.38888888888889,2.9735805134481983,5.269444444444445,11.36111111111111,3.3093815393271755,7.175347222222222,8.833333333333334,2.137306262728762,4.680555555555555,7.916666666666667,2.2648748768067315,3.7369714847590956,10.944444444444445,2.624973940610498,0,0,0
V1-01.08.2024-C1NS.V48.csv,7.5633074935400515,13.916666666666666,3.6375927938439614,7.977969348659005,14.02777777777778,5.332146751839631,7.843567251461988,15.11111111111111,4.982963177396603,9.640432098765432,13.88888888888889,4.946210966491252,9.709876543209877,13.97222222222222,4.606425646413891,5.105902777777778,13.916666666666666,4.6405709830099475,9.48202614379085,13.97222222222222,5.019338962110224,6.833333333333333,12.5,3.6947809184937195,8.704545454545455,13.88888888888889,5.373406636172768,6.166666666666667,13.77777777777778,5.012462422946053,8.236928104575163,13.555555555555555,4.991448296859125,8.648148148148149,13.833333333333334,4.893124504331525,9.777777777777777,13.97222222222222,3.6644914984738097,4.890740740740741,10.47222222222222,3.344895072385304,5.9646464646464645,9.555555555555555,3.226268793122636,5.378787878787879,11.25,3.1995708286039686,9.335470085470085,12.805555555555555,4.241829193848048,5.0350241545893715,13.97222222222222,3.733025718891922,6.661764705882353,8.166666666666666,1.5612567675635198,5.6722222222222225,13.166666666666666,3.440400478530791,4.088283828382838,13.916666666666666,3.461054030293542,0,0,0
V1-01.08.2024-C1NS.V49.csv,8.626705653021443,13.97222222222222,3.7606221456848306,11.104377104377104,14.86111111111111,4.249864004173025,9.00925925925926,14.944444444444445,4.826771260140758,8.522569444444445,11.25,3.346832265837524,8.101307189542483,10.833333333333334,3.6600311009290087,6.497222222222222,11.97222222222222,4.039199373507993,9.427579365079364,13.833333333333334,4.493920468305191,8.722222222222221,12.63888888888889,3.9931568693534625,5.596153846153846,13.305555555555555,4.56502559570685,7.063131313131313,11.416666666666666,3.988705595357847,8.368312757201647,12.22222222222222,4.035158229178641,6.964285714285714,10.833333333333334,2.9588763567497423,6.606060606060606,10.416666666666666,3.032532749503364,4.868312757201646,9.72222222222222,2.9796774520044766,8.594017094017094,11.555555555555555,3.05051221963666,6.316425120772947,12.88888888888889,3.714428550450223,9.436507936507937,14.333333333333334,4.110164519937418,6.66765873015873,11.97222222222222,3.429473323095815,9.174382716049383,12.75,2.5839008715880523,7.712301587301588,12.38888888888889,4.033702994414529,4.741102430555555,12.805555555555555,3.59921307541599,0,0,0
