archivo,Intervalo_1,Intervalo_2,Intervalo_3,Intervalo_4,Intervalo_5,Intervalo_6,Intervalo_7,Intervalo_8,Intervalo_9,Intervalo_10,Intervalo_11,Intervalo_12,Intervalo_13,Intervalo_14,Intervalo_15,Intervalo_16,Intervalo_17,Intervalo_18,Intervalo_19,Intervalo_20,Intervalo_21,Intervalo_22,Intervalo_23,Intervalo_24,Intervalo_25,Intervalo_26,Intervalo_27,Intervalo_28,Intervalo_29,Intervalo_30,Intervalo_31,Intervalo_32,Intervalo_33,Intervalo_34,Intervalo_35,Intervalo_36,Intervalo_37,Intervalo_38,Intervalo_39,Intervalo_40,Intervalo_41,Intervalo_42,Intervalo_43,Intervalo_44,Intervalo_45,Intervalo_46,Intervalo_47,Intervalo_48
V1-2024.08.01-E1.A02.csv,5.836111111111111,7.291666666666667,9.998456790123457,10.281481481481482,6.871399176954733,8.189814814814815,7.9867724867724865,7.681481481481481,7.291666666666666,8.140873015873016,7.386473429951691,8.847222222222223,6.772875816993464,7.107407407407408,7.5673076923076925,6.576241134751773,7.40032679738562,7.063131313131313,7.366809116809117,7.601851851851852,8.619565217391305,4.794753086419753,6.892156862745098,5.258928571428571,3.7646198830409356,4.87012012012012,4.51058201058201,5.972883597883598,7.117283950617284,7.511415525114155,6.791666666666667,8.487847222222221,5.4753086419753085,5.54983660130719,7.849537037037037,7.8351851851851855,7.478174603174603,7.786616161616162,6.765432098765432,6.2875,9.633838383838384,8.488888888888889,6.5643939393939394,7.655797101449275,7.697368421052632,6.982905982905983,6.648611111111111,4.488831615120275
V1-2024.08.01-E1.A07.csv,6.09537037037037,7.810457516339869,8.859788359788359,11.174603174603174,8.131578947368421,7.756613756613756,10.17156862745098,6.534313725490197,7.8765432098765435,9.996031746031745,9.484567901234568,5.783333333333333,9.592592592592593,7.180555555555555,6.627976190476191,5.7426624737945495,8.050347222222221,6.406565656565657,6.8493055555555555,9.181111111111111,6.940740740740741,3.971014492753623,9.938657407407408,5.917735042735043,3.81140350877193,5.440789473684211,6.648148148148148,7.620659722222222,7.203065134099617,8.044444444444444,7.916666666666666,7.510802469135802,4.1913580246913575,6.358333333333333,6.6875,8.029761904761905,6.375,8.584722222222222,6.257716049382716,7.331699346405229,9.41468253968254,7.033950617283951,7.402777777777778,9.954248366013072,7.748538011695906,9.40204678362573,7.701388888888889,6.104700854700854
V1-2024.08.01-E1.A12.csv,5.115591397849462,7.658950617283951,9.825617283950617,11.015873015873016,11.059027777777779,7.1625,9.558641975308642,6.944444444444445,9.311507936507937,6.093567251461988,8.501461988304094,6.972222222222222,7.968253968253968,8.267676767676768,6.648467432950191,6.5331196581196584,6.8069444444444445,8.17013888888889,9.267713365539452,8.466880341880342,8.173333333333334,7.709967320261438,6.388888888888889,5.563492063492063,6.502525252525253,6.3694444444444445,5.823529411764706,7.70079365079365,12.444444444444445,7.691919191919192,7.902777777777778,6.8011695906432745,5.9914529914529915,9.609649122807017,8.619444444444444,9.464285714285715,6.811507936507937,9.030701754385966,7.857407407407408,6.941666666666666,8.147435897435898,8.587719298245615,10.903594771241831,8.305555555555555,7.578703703703704,7.68482905982906,6.8505291005291005,6.403409090909091
V1-2024.08.01-E1.A15.csv,5.635304659498208,7.945906432748538,9.88425925925926,8.334876543209877,6.233333333333333,6.957671957671958,9.071111111111112,8.747685185185185,6.593055555555556,7.724074074074074,8.942982456140351,7.351010101010101,9.646464646464647,7.423611111111111,7.001068376068376,6.288773148148148,10.08974358974359,7.322222222222223,7.312071330589849,9.42251461988304,7.704059829059829,5.494152046783626,9.738425925925926,6.962121212121212,6.6607142857142865,7.2253086419753085,6.659722222222222,7.277777777777778,8.972222222222223,7.016460905349795,5.962962962962963,7.1722222222222225,5.3417658730158735,8.580128205128204,7.50462962962963,8.292592592592593,7.068376068376068,7.151515151515151,7.431372549019607,8.705555555555556,12.280864197530864,10.078703703703704,8.875925925925927,7.362268518518518,8.691176470588236,8.58187134502924,6.738888888888889,5.656349206349207
V1-2024.08.01-E1.A19.csv,5.599074074074074,5.753623188405797,9.064814814814815,7.341269841269841,7.876388888888888,6.777777777777778,9.006172839506172,8.128968253968255,6.741228070175438,7.7444444444444445,7.28587962962963,5.728174603174603,8.125,8.615384615384615,6.532738095238096,6.251089324618737,7.542483660130719,7.431818181818182,6.733333333333333,6.383744855967078,5.828828828828829,5.014705882352941,8.318452380952381,5.383928571428571,5.6646825396825395,5.4452614379084965,5.287581699346405,6.039972899728998,7.179012345679013,7.444063926940639,6.146825396825396,6.826023391812865,5.456275720164609,5.858506944444445,6.006535947712418,6.397222222222222,5.675925925925926,7.273148148148148,7.263888888888889,5.916666666666667,7.593253968253968,9.315656565656566,8.63888888888889,6.375992063492063,8.122549019607844,6.8739316239316235,5.391203703703704,5.1938131313131315
V1-2024.08.01-E1.A21.csv,4.993464052287582,7.439814814814815,9.83994708994709,9.38888888888889,7.334656084656085,8.82716049382716,10.627777777777778,6.962962962962963,6.105820105820106,7.220486111111112,7.365942028985508,6.212301587301587,8.551282051282051,9.037878787878787,8.757936507936508,6.259099616858237,6.469298245614035,7.25,7.338255977496484,6.9567901234567895,7.473148148148148,4.245614035087719,7.120098039215686,4.097597597597598,3.5185185185185186,5.367283950617284,5.298611111111111,5.98800505050505,9.103174603174603,6.750334672021419,6.525462962962963,6.645833333333333,5.264336917562724,5.862745098039215,7.3739316239316235,8.266666666666667,6.886904761904763,8.40909090909091,7.3921568627450975,6.375730994152047,11.261574074074074,8.81140350877193,8.225694444444445,6.104166666666667,7.578703703703703,7.7644927536231885,6.8011695906432745,5.825483091787439
V1-2024.08.01-E1.A23.csv,4.71078431372549,7.563271604938271,8.926388888888889,8.815359477124183,8.782407407407407,7.6125,9.339506172839506,9.330808080808081,6.86388888888889,8.886752136752136,7.351449275362319,9.431818181818182,6.977124183006536,8.356481481481481,6.9300411522633745,6.573529411764706,7.651041666666666,6.9944444444444445,6.8936899862825785,7.657777777777778,6.590686274509804,5.562962962962963,7.606770833333334,5.149074074074074,5.715811965811966,6.455555555555556,7.271367521367521,7.40359477124183,10.015873015873016,7.147916666666666,7.516666666666667,9.59548611111111,5.599137931034483,4.945195195195195,8.871212121212121,8.200396825396826,7.205128205128205,7.228009259259259,6.008771929824562,6.673976608187134,11.166666666666666,9.299603174603174,6.616161616161617,9.447712418300654,8.703125,7.871527777777778,6.9603174603174605,6.167344173441735
V1-2024.08.01-E1.A35.csv,4.9297385620915035,7.010233918128655,9.596491228070175,8.171957671957673,8.608333333333333,7.714912280701754,9.818627450980392,6.5625,8.364583333333334,8.658119658119658,6.292735042735043,9.503086419753085,6.442901234567901,7.4252136752136755,9.78042328042328,6.373333333333333,7.529411764705883,6.794444444444444,6.024382716049383,9.206521739130435,6.053872053872054,6.339869281045752,9.438888888888888,5.361111111111112,3.6198830409356724,4.059876543209876,4.654970760233918,5.8813131313131315,5.274410774410774,6.764236111111111,7.402777777777778,7.567901234567901,4.473566308243727,5.026143790849673,6.271241830065359,6.083333333333333,6.322649572649573,7.633101851851852,7.505208333333333,5.133101851851852,10.506172839506172,8.511111111111111,8.291666666666666,8.898611111111112,6.795833333333333,7.360042735042735,5.659420289855072,5.450810185185185
V1-2024.08.01-E1.A44.csv,5.972222222222222,8.393518518518519,11.794444444444444,11.36111111111111,7.627777777777778,8.562091503267974,7.859848484848485,9.288461538461538,7.759803921568627,7.4907407407407405,7.932367149758455,5.855555555555555,8.711538461538462,9.491666666666667,7.816666666666666,5.9013409961685825,8.100694444444445,7.111111111111112,7.1998644986449865,8.657004830917874,8.421810699588477,3.782828282828283,6.534722222222222,4.968855218855219,3.986111111111111,5.86437908496732,5.511695906432749,6.803472222222222,7.292181069958848,5.3528693528693525,7.358333333333333,7.693121693121693,4.496863799283154,5.723063973063973,11.940972222222221,7.883333333333334,5.292483660130719,7.703282828282829,6.673202614379085,9.013374485596708,11.381944444444445,6.981111111111112,7.309523809523809,9.776234567901234,7.5625,8.101851851851851,7.671296296296297,7.358730158730159
V1-2024.08.01-E1.A48.csv,4.76951951951952,6.985380116959065,8.67989417989418,9.29783950617284,7.701388888888889,6.587121212121212,7.650925925925926,8.166666666666668,5.560185185185185,5.691798941798942,5.964285714285714,9.447222222222221,6.550653594771242,7.146825396825397,6.390804597701149,6.523965141612201,7.3503086419753085,7.660493827160494,7.480263157894737,6.267241379310344,6.617383512544802,4.2023809523809526,10.20138888888889,6.832175925925926,5.232142857142857,5.836507936507937,5.808479532163743,7.214714714714715,8.17550505050505,7.761111111111111,7.3939393939393945,7.261695906432749,5.787037037037037,6.8693415637860085,8.282407407407408,8.613095238095237,6.761111111111111,7.943181818181818,7.101307189542484,5.8240740740740735,10.444444444444445,8.926900584795321,7.741161616161616,7.601010101010101,5.763333333333334,6.944444444444445,5.767195767195767,6.745495495495495
V1-2024.08.01-E1.A49.csv,4.920751633986928,7.608187134502924,10.19753086419753,10.535714285714286,7.747222222222223,8.080409356725147,12.05952380952381,9.337962962962964,6.725,9.63888888888889,9.140277777777778,6.0059523809523805,7.951851851851852,9.70959595959596,8.880952380952381,6.2451923076923075,6.9751461988304095,6.424242424242424,7.891481481481481,8.640211640211641,6.672743055555555,6.399572649572649,9.53587962962963,6.025720164609053,7.966049382716049,5.86984126984127,4.756172839506172,6.003703703703704,7.425,8.564262023217248,6.855555555555555,8.083333333333334,5.379142300194932,6.488095238095238,5.37037037037037,5.915277777777778,5.220679012345679,8.316666666666666,6.26058201058201,6.804093567251462,11.731481481481481,9.098611111111111,8.094135802469136,8.208333333333334,8.192982456140351,8.57010582010582,6.916666666666667,5.265185185185185
V1-2024.08.01-E1.A53.csv,5.577256944444445,7.526315789473684,9.27485380116959,8.91812865497076,8.214912280701755,5.725198412698413,7.278985507246376,6.847222222222222,6.676388888888889,8.257407407407408,7.171111111111111,9.577777777777778,6.416666666666667,8.553240740740742,5.484126984126984,7.371069182389937,7.111111111111111,7.016666666666667,6.930878552971576,7.954444444444444,6.729166666666667,4.591666666666667,8.67911877394636,5.685185185185185,5.2756410256410255,6.467881944444445,5.342105263157895,7.991830065359477,9.87962962962963,7.433479532163743,5.937037037037037,7.185672514619883,4.944907407407407,5.0593093093093096,9.476495726495726,8.227777777777778,5.1535087719298245,7.2188888888888885,6.320833333333333,5.274305555555555,7.032986111111111,6.244252873563219,7.049707602339181,8.246212121212121,7.4567901234567895,8.435185185185185,6.409722222222222,5.0160256410256405
V1-2024.08.01-E1.A57.csv,7.623333333333333,7.866013071895424,11.807407407407407,11.570512820512821,8.769005847953217,7.730555555555555,11.381481481481481,7.008169934640523,7.092592592592593,8.9508547008547,10.905228758169935,5.95,9.222222222222221,10.655555555555555,9.008838383838384,8.46078431372549,8.956349206349207,8.535353535353535,7.810846560846561,7.635416666666667,8.511111111111111,9.077160493827162,9.27,5.415555555555556,6.127314814814815,7.082264957264957,5.8809523809523805,6.73070987654321,8.866402116402117,6.948630136986301,7.138888888888888,9.092592592592592,5.899154589371981,7.138888888888888,9.481481481481481,6.119047619047619,6.291666666666667,9.376543209876543,9.506944444444445,5.791005291005291,7.32962962962963,11.022569444444445,6.7560386473429945,7.733333333333333,8.061111111111112,9.394736842105264,6.090909090909091,4.9946689113355776
V1-2024.08.01-E1.A58.csv,7.725845410628019,8.440972222222221,11.668518518518518,9.506944444444445,9.276143790849673,10.440740740740742,11.338888888888889,9.694444444444445,8.322222222222223,8.545634920634921,6.705555555555556,7.127314814814815,9.37037037037037,7.660714285714286,6.501915708812261,6.769607843137255,8.668518518518518,8.510416666666668,8.549603174603174,9.909356725146198,6.82078853046595,5.2518518518518515,8.626984126984127,5.284979423868313,4.645061728395062,4.22716049382716,5.774074074074074,7.078703703703703,8.071969696969697,7.059741248097413,6.229166666666667,7.888888888888889,5.660377358490567,9.252645502645503,6.988888888888889,6.452160493827161,8.847222222222221,7.9810606060606055,6.337719298245614,9.160714285714285,11.315656565656566,7.998677248677249,7.56140350877193,7.092948717948718,7.973765432098765,6.283730158730158,7.24537037037037,4.281378600823046
V1-2024.08.01-E1.A62.csv,5.662345679012346,8.362847222222221,10.410130718954248,9.362654320987655,9.393790849673202,8.95486111111111,9.315555555555555,6.791666666666667,5.919191919191919,6.095238095238095,6.850694444444445,10.660493827160494,8.103703703703705,10.641975308641975,7.037698412698413,7.372628726287263,7.54320987654321,6.532828282828283,8.207296849087895,8.199074074074074,6.5055555555555555,6.004273504273504,8.06986531986532,5.198559670781893,8.032828282828284,5.884920634920635,5.683641975308642,7.195238095238095,9.205808080808081,8.236324786324786,6.4282407407407405,7.792483660130719,6.834313725490196,7.843434343434343,8.921296296296296,9.25,5.529411764705882,9.0453216374269,7.925925925925926,5.718253968253968,11.729166666666668,7.748792270531401,6.128019323671498,8.294444444444444,7.875,7.731884057971015,7.125730994152047,6.506944444444445
