archivo,Intervalo_1,Intervalo_2,Intervalo_3,Intervalo_4,Intervalo_5,Intervalo_6,Intervalo_7,Intervalo_8,Intervalo_9,Intervalo_10,Intervalo_11,Intervalo_12,Intervalo_13,Intervalo_14,Intervalo_15,Intervalo_16,Intervalo_17,Intervalo_18,Intervalo_19,Intervalo_20,Intervalo_21
V1-01.08.2024-C1SN.M07.csv,15.22222222222222,15.055555555555555,12.02777777777778,10.63888888888889,11.25,9.916666666666666,8.88888888888889,8.88888888888889,12.333333333333334,14.02777777777778,9.61111111111111,9.194444444444445,10.583333333333334,13.25,8.88888888888889,9.13888888888889,10.694444444444445,12.805555555555555,10.416666666666666,10.694444444444445,0
V1-01.08.2024-C1SN.M31.csv,13.833333333333334,12.27777777777778,11.555555555555555,11.305555555555555,10.055555555555555,10.88888888888889,9.25,7.333333333333333,12.27777777777778,12.38888888888889,10.38888888888889,12.38888888888889,11.916666666666666,12.27777777777778,10.22222222222222,10.38888888888889,11.666666666666666,14.944444444444445,13.88888888888889,11.666666666666666,0
V1-01.08.2024-C1SN.T10.csv,14.916666666666666,13.833333333333334,11.055555555555555,9.02777777777778,10.694444444444445,9.25,8.583333333333334,9.38888888888889,9.916666666666666,11.11111111111111,10.02777777777778,11,10.77777777777778,11.416666666666666,11.11111111111111,10.944444444444445,11.194444444444445,11.36111111111111,12.02777777777778,10.47222222222222,0
V1-01.08.2024-C1SN.T81.csv,12.22222222222222,10.22222222222222,9.97222222222222,10.02777777777778,11.444444444444445,8.277777777777779,10.47222222222222,10.055555555555555,12.583333333333334,11.666666666666666,9.555555555555555,10.27777777777778,12.166666666666666,14.25,12.13888888888889,12.083333333333334,13.305555555555555,15.72222222222222,13.916666666666666,12.52777777777778,0
V1-01.08.2024-C1SN.V12.csv,12.86111111111111,12.333333333333334,12.444444444444445,13.416666666666666,11.36111111111111,8.944444444444445,12.333333333333334,12.38888888888889,14.02777777777778,14.583333333333334,12.5,11.555555555555555,13.833333333333334,14.944444444444445,11.805555555555555,10.166666666666666,14.02777777777778,16.75,15.583333333333334,14.083333333333334,0
V1-01.08.2024-C1SN.V15.csv,10.77777777777778,11.194444444444445,8.222222222222221,12.52777777777778,8.055555555555555,7.388888888888889,7.916666666666667,8.666666666666666,11.77777777777778,11.86111111111111,11.13888888888889,11.11111111111111,11.055555555555555,12.444444444444445,11.36111111111111,10.77777777777778,11.77777777777778,12.166666666666666,11.72222222222222,11.555555555555555,0
V1-01.08.2024-C1SN.V42.csv,11.305555555555555,12.583333333333334,11.5,12.083333333333334,8.416666666666666,7.388888888888889,8.583333333333334,10.22222222222222,12.75,12.13888888888889,11.11111111111111,12.38888888888889,9.38888888888889,14.916666666666666,13,9.75,16.444444444444443,17.166666666666668,16.25,10.055555555555555,0
V1-01.08.2024-C1SN.V43.csv,13.666666666666666,11.916666666666666,11.416666666666666,10.47222222222222,9.97222222222222,7.916666666666667,8.472222222222221,10.38888888888889,11.444444444444445,13.194444444444445,11.666666666666666,12.444444444444445,7.861111111111111,12.75,10.833333333333334,12.083333333333334,12.944444444444445,12.444444444444445,13.555555555555555,13.11111111111111,0
V1-01.08.2024-C1SN.V48.csv,9.805555555555555,10.583333333333334,9.36111111111111,10.75,11.61111111111111,10.166666666666666,9.25,11.36111111111111,13.055555555555555,13.833333333333334,12.52777777777778,13.833333333333334,13.305555555555555,15.416666666666666,13.833333333333334,14.02777777777778,13.916666666666666,17.833333333333332,15.27777777777778,13.88888888888889,0
V1-01.08.2024-C1SN.V49.csv,13.25,11.86111111111111,13.11111111111111,11,10.944444444444445,8.583333333333334,10.02777777777778,11.72222222222222,12.38888888888889,13.88888888888889,12.86111111111111,11,14.02777777777778,16.083333333333332,12.805555555555555,10.63888888888889,14.02777777777778,18.5,15.47222222222222,14.194444444444445,0
V2-01.08.2024-C1SN.M07.csv,16.13888888888889,9.666666666666666,10.52777777777778,8.416666666666666,9.61111111111111,7.555555555555555,9.555555555555555,7.694444444444445,9.916666666666666,9.72222222222222,9.75,10.11111111111111,10.333333333333334,12.75,10.833333333333334,9.25,11.11111111111111,14.13888888888889,13.36111111111111,9.25,0
