archivo,Acel_1_media,Acel_1_maximo,Acel_1_desviacion,Acel_2_media,Acel_2_maximo,Acel_2_desviacion,Acel_3_media,Acel_3_maximo,Acel_3_desviacion,Acel_4_media,Acel_4_maximo,Acel_4_desviacion,Acel_5_media,Acel_5_maximo,Acel_5_desviacion,Acel_6_media,Acel_6_maximo,Acel_6_desviacion,Acel_7_media,Acel_7_maximo,Acel_7_desviacion,Acel_8_media,Acel_8_maximo,Acel_8_desviacion,Acel_9_media,Acel_9_maximo,Acel_9_desviacion,Acel_10_media,Acel_10_maximo,Acel_10_desviacion,Acel_11_media,Acel_11_maximo,Acel_11_desviacion,Acel_12_media,Acel_12_maximo,Acel_12_desviacion,Acel_13_media,Acel_13_maximo,Acel_13_desviacion,Acel_14_media,Acel_14_maximo,Acel_14_desviacion,Acel_15_media,Acel_15_maximo,Acel_15_desviacion,Acel_16_media,Acel_16_maximo,Acel_16_desviacion,Acel_17_media,Acel_17_maximo,Acel_17_desviacion,Acel_18_media,Acel_18_maximo,Acel_18_desviacion,Acel_19_media,Acel_19_maximo,Acel_19_desviacion,Acel_20_media,Acel_20_maximo,Acel_20_desviacion,Acel_21_media,Acel_21_maximo,Acel_21_desviacion
V1-01.08.2024-C1SN.M07.csv,0.05929232804232805,0.8,0.34671650001846355,-0.009773662551440333,2.5972222222222223,0.7760013152407463,-0.06582491582491583,1.0833333333333335,0.5910491263079917,-0.028737251744498114,0.8,0.4816893988608365,0.057792207792207805,0.9166666666666666,0.495889099258233,-0.08670634920634919,1.8333333333333333,0.7180916652185925,0.04623538011695907,1.0277777777777777,0.452777127472771,0.037024691358024636,0.8055555555555556,0.5365584988347951,0.09343395252837979,1.0277777777777777,0.46185456610715186,-0.038310185185185176,1.0277777777777777,0.6061232400978664,0.04436663554310614,1.0333333333333332,0.5517591116829148,0.21922150776639943,2.555555555555556,0.6934663029765841,-0.0995475113122172,0.8111111111111111,0.4970478726979013,0.08219420077972703,1,0.4322149250404708,-0.03248409012727895,1.0611111111111111,0.5586088667240889,-0.02777777777777777,1.1222222222222222,0.6388607079130992,-0.09365953531170923,1.1018518518518519,0.5847030566478476,0.01877139744786815,1.1722222222222223,0.575209103620368,-0.033145254629629604,0.8055555555555554,0.35329292585302924,0.006540017028522775,0.9999999999999999,0.3235755652645112,0,0,0
V1-01.08.2024-C1SN.M31.csv,0.00781387966239653,0.6555555555555556,0.504509055041857,-0.04775910364145655,1.6712962962962967,0.766902156389866,-0.09398530762167126,1.0611111111111111,0.6285148672875304,0.0314300411522634,1.1833333333333331,0.6290080979640492,0.12400506096158272,0.8333333333333335,0.43496159321223915,-0.08235930735930734,0.8555555555555555,0.499966497544982,-0.025524013024013015,0.8055555555555554,0.3619329644480724,0.039125073486184596,0.7222222222222221,0.41710412841513583,0.009876543209876562,1.0277777777777777,0.596086090637066,-0.005574700640490001,0.9166666666666666,0.4782459019862276,0.10371315192743764,0.9666666666666668,0.33497566251442323,0.024634502923976596,0.8333333333333334,0.5546682424312693,-0.06401748971193418,0.9777777777777779,0.7846025204083906,0.0586226851851852,1.0166666666666666,0.4797331099735297,-0.02715464833520391,1.0555555555555556,0.5970448786220881,0.02008928571428575,1.0833333333333333,0.7697885265543649,-0.059649122807017535,0.8333333333333333,0.5375280070709583,0.07363136137645941,1.1111111111111112,0.42117418675149804,-0.02084419974886506,1.1,0.696299051587023,0.013253183558289425,1.0277777777777777,0.5136696140471351,0,0,0
V1-01.08.2024-C1SN.T10.csv,0.08717948717948718,0.47777777777777786,0.32709422786581527,-0.008170244107744074,1.333333333333334,0.5668117190927846,-0.051463844797178124,0.6055555555555556,0.39626947538412277,-0.047578347578347564,0.9722222222222223,0.49658717477232456,0.155982905982906,1.1111111111111112,0.3171249245808976,-0.09496794871794872,0.638888888888889,0.4289638331938005,-0.026473765432098766,0.9583333333333333,0.4490258598236101,-0.015472516166960607,0.4305555555555556,0.3273039332390441,-0.013194444444444446,0.6388888888888888,0.3887050948735849,0.018273875882571542,0.8333333333333339,0.5743821996131998,-0.005085243974132875,1.3611111111111112,0.7386848502990595,-0.06074011458626843,0.8833333333333334,0.6593602579380136,0.06053791887125227,0.9055555555555556,0.4908911049036719,-0.04574314574314573,0.8944444444444445,0.606110447685995,-0.009294871794871774,1.172222222222222,0.6164875111362594,0.0033950617283950058,0.9444444444444443,0.66784296943549315,-0.03028935185185183,1.2055555555555557,0.6217069375211803,0.02006172839506173,1.077777777777778,0.4894461280931066,-0.08757122507122507,1.15,0.5104563823854426,0.03403201005571693,1.0222222222222224,0.405461600714604,0,0,0
V1-01.08.2024-C1SN.T81.csv,0.06995958391307229,0.9111111111111112,0.4933018479989004,0.06965176455917195,1.7499999999999991,0.5126354268216855,0.025893550893550887,0.8055555555555555,0.46186993655386643,0.023950457484111315,0.9388888888888894,0.6119452128133548,0.026730019493177375,0.861111111111111,0.4492757555398682,-0.03486467236467235,0.8444444444444444,0.4076286598129959,0.09077380952380952,1.1666666666666665,0.5314987165288614,0.01828181565023671,0.6388888888888887,0.369532511018299,0.00782407407407406,0.8222222222222222,0.5200173681969495,0.009402356902356893,1.1833333333333331,0.6186900079002141,0.07880116959064327,0.9888888888888889,0.6337566975925211,-0.05462962962962964,1,0.6412447617999651,0.04155379553106828,1.1,0.5352601363956795,-0.06717171717171717,0.9888888888888889,0.5790588136058938,0.033316228790366775,1.0611111111111113,0.6684885749741692,-0.11435185185185184,0.9555555555555555,0.8441920868454379,-0.020949074074074075,0.9055555555555557,0.5185673340116769,-0.009247076023391707,1.05,0.5333400673840828,0.024431818181818197,1.1111111111111112,0.5101088378326578,-0.02687393482146568,1.0944444444444443,0.4791613516205052,0,0,0
V1-01.08.2024-C1SN.V12.csv,-0.00947744619619619,0.6666666666666665,0.4265740603849061,0.02094835518748559,1.7222222222222214,0.7231178899335838,-0.05111111111111109,0.9222222222222223,0.6651051671742751,0.0028322440087145957,1.4,0.6042983990226393,0.006234567901234568,0.5555555555555556,0.4254457937169776,0.02942386831275724,0.8333333333333333,0.5210703850117178,0.07100480109739365,1.1388888888888888,0.523462785589213,-0.023648741105637656,0.9722222222222223,0.49571438935550904,0.027314814814814816,0.7638888888888888,0.5297820305116319,0.012698412698412712,0.9444444444444443,0.6324083385020894,-0.05382241215574547,0.7611111111111111,0.7866160168417631,-0.14489711934156377,0.7611111111111113,0.7887806003111613,0.07387566137566141,0.8611111111111116,0.7538713727215562,0.15851521164021162,0.8333333333333335,0.48505600610099386,-0.07205882352941172,1,0.725358089640038,-0.01877869605142332,0.7722222222222224,0.6993854276722185,-0.00838477366255144,0.7722222222222221,0.5991446127165719,-0.04340277777777777,1.0111111111111113,0.6453512736958884,0.04691262469900242,0.8472222222222223,0.5028654432862092,0.08657519234210062,0.8611111111111112,0.5036908806386096,0,0,0
V1-01.08.2024-C1SN.V15.csv,0.08931218550251599,1.5555555555555558,0.49709992590565916,0.1602693602693603,4.472222222222223,0.9893349277060941,-0.04118923611111111,0.6,0.3851524134766226,-0.03000336700336711,1.1277777777777778,0.44128240077025827,0.0560082304526749,0.5166666666666666,0.222037997646691,-0.012448796722990265,0.6666666666666667,0.4664388975516885,0.026350239625433432,2,0.627888908800146,0.07416418927288493,1.1944444444444444,0.4161304807383003,-0.04521604938271605,0.8222222222222222,0.5262772129430956,-0.0016718106995884756,0.8333333333333334,0.5044350412061412,0.004265873015873013,0.6777777777777778,0.47703382756299123,-0.09241301907968573,0.7037037037037036,0.5561392180397783,-0.01847628330084471,0.7388888888888889,0.49660929507477286,0.012390572390572386,0.844444444444445,0.5088717603577643,0.08604312354312355,0.6458333333333335,0.45327203843087516,-0.003323836657169948,0.7333333333333332,0.6826796267624273,-0.058163265306122466,0.7111111111111112,0.6005195922942257,0.005751964085297448,0.8222222222222223,0.4547160879597512,-0.0378021978021978,0.75,0.46344001248401195,0.05074913715264593,0.916666666666667,0.37767298860386556,0,0,0
V1-01.08.2024-C1SN.V42.csv,0.011971379680804237,0.711111111111111,0.3785124683526969,0.2909143518518519,5.916666666666668,1.4451741644871134,-0.08320707070707073,0.9888888888888889,0.5921595672979848,-0.06230158730158716,1.1944444444444444,0.47455922647824056,0.049648445236680536,0.6444444444444444,0.37650022138020456,0.03390522875816996,1.25,0.4649448049275801,0.013787375415282398,0.6527777777777779,0.36565247472430334,0.0533678497389859,1.2777777777777777,0.38728671296322725,-0.014110305958132027,0.7870370370370369,0.5405285654625509,0.00865215031881698,0.9666666666666668,0.5956166672646318,0.07810019841269841,0.8777777777777779,0.5692948271284686,-0.03648111148111151,0.8444444444444444,0.706649166417603,-0.03255437977660199,0.8111111111111116,0.5362500268079232,-0.016494140843808108,0.8666666666666668,0.5890408145161977,0.07539682539682538,0.6500000000000001,0.48784715297059117,-0.02165831244778613,0.788888888888889,0.6672955524379264,-0.030497685185185187,0.7944444444444443,0.7026847291765844,0.03227513227513226,0.9055555555555557,0.642073574761198,-0.05292427604255561,0.7222222222222223,0.5593131526014434,-0.03352194510282747,0.7,0.4208101701543832,0,0,0
V1-01.08.2024-C1SN.V43.csv,0.06533224400871461,0.8333333333333335,0.43218027877788884,0.01931448992852503,2.833333333333332,0.791744356909243,0.12777777777777777,1.1111111111111107,0.6402598378257532,-0.03502326217843456,0.944444444444444,0.5195050999629347,0.033978174603174566,0.5666666666666668,0.4111615007491715,-0.02816091954022985,0.6277777777777779,0.40763135058193783,-0.009487679312240723,0.6111111111111112,0.38331355901813585,0.033502146002146065,0.6388888888888887,0.5081987936028034,0.07669934640522877,0.7222222222222223,0.4105306863891404,-0.058695436507936516,1.0666666666666667,0.5957243291081719,0.15611111111111117,0.75,0.34841843330099964,0.013675213675213637,0.7388888888888889,0.6001955073475664,-0.05617944147355911,0.8388888888888889,0.4496116396532684,-0.007725694444444442,0.7833333333333334,0.40265471682958853,-0.08967611336032388,0.8222222222222222,0.7681512587659125,-0.046343779677113076,0.7833333333333332,0.7123560570243549,-0.08659979423868311,0.7611111111111113,0.5280104137038414,0.024269005847953194,0.7444444444444445,0.3219678142452474,0.0029642489711934187,0.8166666666666667,0.4139783281066244,0.026458280961957396,1.0555555555555554,0.4662640891113398,0,0,0
V1-01.08.2024-C1SN.V48.csv,0.03055077040865153,0.5555555555555556,0.30210037379815396,0.15296792328042327,3.75,1.0444721309788105,-0.04541245791245792,0.9444444444444443,0.46498782018944484,0.059645061728395093,0.8,0.35152699177172914,0.014551767676767692,0.5888888888888888,0.6499538731396354,-0.02353927203065136,0.7777777777777777,0.45119181995566987,0.05552662037037037,0.9861111111111112,0.4394299381438827,-0.03979888398046966,0.638888888888889,0.5563045041141649,-0.025376157407407455,0.7291666666666665,0.5669710213774511,-4.385964912279839e-4,0.9777777777777779,0.6748800893453338,0.11574074074074074,0.7722222222222218,0.4325480668704759,0.09057017543859643,0.9305555555555545,0.6709470573491256,-0.2066077441077441,0.8444444444444444,0.8649104280089431,-0.04909297052154195,0.788888888888889,0.7139165287410835,0.16531986531986534,0.7777777777777777,0.5587514443351451,-0.013591269841269911,0.7777777777777779,0.8754490353409878,-0.08305555555555555,0.805555555555555,0.6724313019335921,0.06944444444444442,1.066666666666667,0.6796327833209703,-0.22857142857142856,0.8222222222222222,0.8883214954987183,0.02071308102273494,0.9722222222222222,0.5889062206657435,0,0,0
V1-01.08.2024-C1SN.V49.csv,0.07166402953586498,0.8703703703703706,0.5355845832916517,0.035704264870931514,5.194444444444444,1.0851231514953883,-0.10495580808080802,0.8611111111111113,0.7131945621097326,-0.01652500668883538,1.2129629629629628,0.6078606195864725,0.03917378917378914,0.6851851851851851,0.49530303833969924,-0.01864364364364366,0.7777777777777777,0.5084466563101901,0.012320302313128707,1.333333333333334,0.5365613358965617,0.010782879317362085,0.75,0.5074276109785573,-0.03354497354497355,0.9907407407407408,0.5573475170475825,0.02178649237472767,0.9814814814814815,0.726202850479096,0.025712429221201087,0.7222222222222222,0.6984144226803382,-0.021776406035665264,0.7407407407407408,0.7676425245707355,0.16792929292929298,0.7222222222222223,0.5826742716014178,-0.11354993386243388,0.8148148148148149,0.7340792281660554,0.0886243386243386,0.8055555555555557,0.7874539823065478,-0.031310916179337275,0.6851851851851852,0.795236267039735,-0.04937321937321933,0.7685185185185186,0.6463772573493873,0.07002645502645503,0.7685185185185182,0.622744433383409,-0.05631313131313133,0.7777777777777777,0.5980517250491538,0.042596614322307616,1.3888888888888884,0.5860944556644551,0,0,0
