archivo,Intervalo_1,Intervalo_2,Intervalo_3,Intervalo_4,Intervalo_5,Intervalo_6,Intervalo_7,Intervalo_8,Intervalo_9,Intervalo_10,Intervalo_11,Intervalo_12,Intervalo_13,Intervalo_14,Intervalo_15,Intervalo_16,Intervalo_17,Intervalo_18,Intervalo_19,Intervalo_20,Intervalo_21
V1-01.08.2024-C1SN.M07.csv,4.726851851851852,6.54320987654321,7.111111111111112,5.868357487922705,7.515151515151516,5.354166666666667,4.249269005847953,4.684444444444445,6.875730994152047,6.309027777777778,6.415032679738562,4.223684210526316,4.555555555555555,9.258771929824562,5.571895424836601,5.068376068376068,6.821111111111112,8.251388888888888,7.244791666666667,6.165123456790123,0
V1-01.08.2024-C1SN.M31.csv,5.045138888888889,7.9411764705882355,7.116161616161616,5.5473251028806585,6.095238095238095,5.257936507936508,4.503174603174603,3.4046296296296297,6.912037037037037,7.773391812865497,7.027777777777778,5.182748538011696,5.8657407407407405,8.953703703703704,5.630208333333333,5.6726190476190474,7.815789473684211,8.859477124183007,7.0986590038314175,5.991919191919192,0
V1-01.08.2024-C1SN.T10.csv,7.089743589743589,6.979166666666667,5.024074074074074,5.214743589743589,6.391025641025641,5.694444444444445,4.357407407407408,4.59920634920635,6.089506172839506,6.079710144927536,5.218253968253968,5.910256410256411,7.277777777777779,7.906084656084656,8.469907407407408,7.2253086419753085,7.583333333333333,7.949074074074074,7.979700854700855,5.541187739463601,0
V1-01.08.2024-C1SN.T81.csv,5.268733850129199,5.900205761316872,5.698717948717948,5.612179487179487,5.6535087719298245,5.055555555555555,4.843253968253968,4.616959064327485,6.454166666666667,6.3,5.083333333333333,4.3391812865497075,6.358585858585858,6.880050505050505,6.710069444444445,5.797979797979798,9.272569444444445,8.748538011695906,9.191919191919192,6.246913580246914,0
V1-01.08.2024-C1SN.V12.csv,5.711711711711712,5.743386243386244,7.569444444444445,9.031045751633986,6.8462962962962965,5.5092592592592595,6.138888888888889,3.589080459770115,8.037037037037036,9.81547619047619,8.722222222222223,5.32037037037037,6.299603174603175,10.05952380952381,6.5,5.838383838383838,8.089506172839506,9.788194444444445,10.646198830409357,7.596618357487923,0
V1-01.08.2024-C1SN.V15.csv,4.80749354005168,6.064009661835748,5.692708333333333,6.43,5.746296296296296,4.628136200716846,3.998708010335917,4.83695652173913,7.527777777777778,7.662037037037037,7.617063492063492,5.038888888888889,4.5018518518518515,6.211111111111111,7.542735042735043,6.6419753086419755,7.402116402116403,9.419753086419753,8.085555555555555,6.969298245614035,0
V1-01.08.2024-C1SN.V42.csv,5.306146572104019,6.976851851851852,7.378787878787879,7.4563492063492065,5.629084967320262,4.062091503267974,3.6815245478036176,3.893849206349206,6.919082125603865,6.224537037037037,7.192460317460317,5.7023809523809526,4.075617283950617,8.008771929824562,6.994047619047619,4.734126984126984,9.307291666666666,10.928571428571429,6.625448028673835,6.283730158730158,0
V1-01.08.2024-C1SN.V43.csv,6.0776143790849675,7.296783625730994,7.358796296296296,5.501915708812261,6.472222222222222,5.422413793103448,3.7006944444444443,4.822649572649573,6.893790849673203,7.2236111111111105,9.869444444444445,6.615384615384616,3.857843137254902,7.641666666666667,5.118421052631579,7.564814814814815,8.33179012345679,8.258771929824562,8.791666666666666,6.7206196581196584,0
V1-01.08.2024-C1SN.V48.csv,5.172480620155039,5.593253968253968,6.467592592592593,7.442901234567901,6.6875,5.113984674329502,5.234375,5.65032679738562,8.288194444444445,8.491228070175438,8.296296296296296,8.21111111111111,6.242424242424243,7.984126984126984,8.25462962962963,8.083333333333334,10.238888888888889,11.341880341880342,10.310846560846562,8.162345679012345,0
V1-01.08.2024-C1SN.V49.csv,6.385416666666667,6.265151515151515,8.269097222222223,5.421783625730994,7.164141414141414,5.204954954954955,5.176829268292683,5.616858237547893,7.392222222222222,6.7745098039215685,8.216931216931217,4.8693415637860085,7.972222222222222,8.263020833333334,7.588624338624339,5.85672514619883,10.214444444444444,11.835555555555556,10.595959595959595,7.302511415525114,0
