archivo,MaxVel_Int1_Sub1,MaxVel_Int1_Sub2,MaxVel_Int1_Sub3,MaxVel_Int2_Sub1,MaxVel_Int2_Sub2,MaxVel_Int2_Sub3,MaxVel_Int3_Sub1,MaxVel_Int3_Sub2,MaxVel_Int3_Sub3,MaxVel_Int4_Sub1,MaxVel_Int4_Sub2,MaxVel_Int4_Sub3,MaxVel_Int5_Sub1,MaxVel_Int5_Sub2,MaxVel_Int5_Sub3,MaxVel_Int6_Sub1,MaxVel_Int6_Sub2,MaxVel_Int6_Sub3,MaxVel_Int7_Sub1,MaxVel_Int7_Sub2,MaxVel_Int7_Sub3,MaxVel_Int8_Sub1,MaxVel_Int8_Sub2,MaxVel_Int8_Sub3,MaxVel_Int9_Sub1,MaxVel_Int9_Sub2,MaxVel_Int9_Sub3,MaxVel_Int10_Sub1,MaxVel_Int10_Sub2,MaxVel_Int10_Sub3,MaxVel_Int11_Sub1,MaxVel_Int11_Sub2,MaxVel_Int11_Sub3,MaxVel_Int12_Sub1,MaxVel_Int12_Sub2,MaxVel_Int12_Sub3,MaxVel_Int13_Sub1,MaxVel_Int13_Sub2,MaxVel_Int13_Sub3,MaxVel_Int14_Sub1,MaxVel_Int14_Sub2,MaxVel_Int14_Sub3,MaxVel_Int15_Sub1,MaxVel_Int15_Sub2,MaxVel_Int15_Sub3,MaxVel_Int16_Sub1,MaxVel_Int16_Sub2,MaxVel_Int16_Sub3,MaxVel_Int17_Sub1,MaxVel_Int17_Sub2,MaxVel_Int17_Sub3,MaxVel_Int18_Sub1,MaxVel_Int18_Sub2,MaxVel_Int18_Sub3,MaxVel_Int19_Sub1,MaxVel_Int19_Sub2,MaxVel_Int19_Sub3,MaxVel_Int20_Sub1,MaxVel_Int20_Sub2,MaxVel_Int20_Sub3
V1-01.08.2024-C1SN.M07.csv,2.8055555555555554,8.055555555555555,15.22222222222222,4.305555555555555,13.555555555555555,15.055555555555555,7.194444444444445,12.02777777777778,10.694444444444445,9.72222222222222,10.27777777777778,10.63888888888889,8.333333333333334,10.27777777777778,11.25,9.916666666666666,7.916666666666667,6.888888888888889,8.666666666666666,8.88888888888889,6.25,5.277777777777778,7.277777777777778,8.88888888888889,8.055555555555555,11.13888888888889,12.333333333333334,9.36111111111111,14.02777777777778,9.666666666666666,9.61111111111111,8.777777777777779,8.472222222222221,4.972222222222222,4.194444444444445,9.194444444444445,5.555555555555555,10.583333333333334,3.638888888888889,9.916666666666666,13.25,12.38888888888889,7.972222222222222,8.666666666666666,8.88888888888889,6.944444444444445,9.13888888888889,8.166666666666666,10.63888888888889,10.694444444444445,9.13888888888889,12.805555555555555,12.02777777777778,9.444444444444445,9.61111111111111,10.416666666666666,9.36111111111111,10.694444444444445,10.11111111111111,8.222222222222221
V1-01.08.2024-C1SN.M31.csv,3.5277777777777777,7.805555555555555,13.833333333333334,10.055555555555555,11.11111111111111,12.27777777777778,6.583333333333333,11.555555555555555,9.916666666666666,10.77777777777778,11.305555555555555,10.22222222222222,3.0833333333333335,8.63888888888889,10.055555555555555,10.88888888888889,7.194444444444445,6.416666666666667,9.25,8.944444444444445,4.611111111111111,6.055555555555555,6.527777777777778,7.333333333333333,5.861111111111111,12.27777777777778,9.666666666666666,11.5,11.5,12.38888888888889,6.416666666666667,10.38888888888889,10.22222222222222,5.388888888888889,7.5,12.38888888888889,6.361111111111111,11.916666666666666,6.722222222222222,7.444444444444445,12.27777777777778,11.666666666666666,7.611111111111111,10.11111111111111,10.22222222222222,10.38888888888889,9.805555555555555,9.61111111111111,10.11111111111111,11.666666666666666,11.305555555555555,7.5,14.944444444444445,12.52777777777778,13.305555555555555,13.88888888888889,9.666666666666666,11.416666666666666,11.666666666666666,9.5
V1-01.08.2024-C1SN.T10.csv,6.25,9.13888888888889,14.916666666666666,7.388888888888889,8.333333333333334,13.833333333333334,2.5,8.944444444444445,11.055555555555555,8.055555555555555,9.02777777777778,7.25,6.972222222222222,7.25,10.694444444444445,9.25,7.5,7.277777777777778,8.055555555555555,8.583333333333334,6,5.388888888888889,9.38888888888889,8.666666666666666,6.416666666666667,9.916666666666666,8.777777777777779,8.583333333333334,10.416666666666666,11.11111111111111,6.527777777777778,9.75,10.02777777777778,9.666666666666666,11,6.25,2.8055555555555554,10.77777777777778,10.77777777777778,9.97222222222222,11.416666666666666,10.88888888888889,9.5,11.11111111111111,11.055555555555555,7.138888888888889,10.944444444444445,9.805555555555555,11.055555555555555,11.194444444444445,9.5,8.472222222222221,11.36111111111111,11.194444444444445,12.02777777777778,11.416666666666666,9.36111111111111,10.47222222222222,9.25,8.333333333333334
V1-01.08.2024-C1SN.T81.csv,4.111111111111111,12.083333333333334,12.22222222222222,5.277777777777778,9.5,10.22222222222222,6.527777777777778,9.97222222222222,9.805555555555555,10.02777777777778,6.833333333333333,9.75,2.4166666666666665,8.11111111111111,11.444444444444445,8.277777777777779,6.722222222222222,6.583333333333333,7.972222222222222,10.47222222222222,6.416666666666667,5.277777777777778,10.055555555555555,6.972222222222222,8.36111111111111,12.583333333333334,5.083333333333333,9.25,11.666666666666666,9.61111111111111,9.02777777777778,8.666666666666666,9.555555555555555,8.88888888888889,8.63888888888889,10.27777777777778,2.4444444444444446,12.166666666666666,11.805555555555555,7.333333333333333,14.25,11.916666666666666,10.38888888888889,12.13888888888889,10.27777777777778,7.027777777777778,12.083333333333334,6.25,12.444444444444445,13.305555555555555,12.444444444444445,13.77777777777778,15.72222222222222,11.555555555555555,12.13888888888889,13.916666666666666,11.11111111111111,12.52777777777778,10.833333333333334,8.333333333333334
V1-01.08.2024-C1SN.V12.csv,6.111111111111111,11.25,12.86111111111111,10.055555555555555,12.333333333333334,10.88888888888889,9.13888888888889,12.444444444444445,10.77777777777778,11.61111111111111,13.416666666666666,11.36111111111111,7.138888888888889,9.25,11.36111111111111,8.944444444444445,8.11111111111111,7.611111111111111,10.11111111111111,12.333333333333334,6.305555555555555,3.4722222222222223,12.38888888888889,8.944444444444445,8.333333333333334,14.02777777777778,13.666666666666666,14.27777777777778,14.583333333333334,13.72222222222222,11.5,12.5,12.02777777777778,8,11.555555555555555,11.5,8.777777777777779,13.833333333333334,8.11111111111111,9.5,14.944444444444445,14.083333333333334,10.055555555555555,11.805555555555555,10.944444444444445,7.5,10.166666666666666,8.666666666666666,9.25,14.02777777777778,13.194444444444445,14.805555555555555,16.75,13.61111111111111,14.583333333333334,15.583333333333334,13.97222222222222,14.083333333333334,14.083333333333334,11.555555555555555
V1-01.08.2024-C1SN.V15.csv,8.88888888888889,10.583333333333334,10.77777777777778,2.4444444444444446,11.194444444444445,8.666666666666666,7.805555555555555,8.222222222222221,8.11111111111111,12.52777777777778,10.27777777777778,5.888888888888889,6,7.027777777777778,8.055555555555555,6.777777777777778,6.833333333333333,7.388888888888889,7.916666666666667,7.861111111111111,3.2222222222222223,7.75,8.666666666666666,4.777777777777778,9.38888888888889,11.77777777777778,9.805555555555555,8.88888888888889,11.86111111111111,11.305555555555555,11.13888888888889,10.944444444444445,4.972222222222222,2.138888888888889,11.11111111111111,10.75,5.388888888888889,11.055555555555555,3.8055555555555554,10.52777777777778,12.444444444444445,10.055555555555555,6.888888888888889,11.36111111111111,11.194444444444445,6.166666666666667,10.694444444444445,10.77777777777778,11,11.77777777777778,10.88888888888889,12.166666666666666,11.416666666666666,11.25,11.194444444444445,11.444444444444445,11.72222222222222,11.555555555555555,10.52777777777778,11.194444444444445
V1-01.08.2024-C1SN.V42.csv,3.888888888888889,7.388888888888889,11.305555555555555,6.361111111111111,10.166666666666666,12.583333333333334,6.888888888888889,11.5,10.52777777777778,11.36111111111111,12.083333333333334,9.72222222222222,6.611111111111111,7.75,8.416666666666666,4.972222222222222,7.388888888888889,6.222222222222222,8.583333333333334,6.166666666666667,3.2777777777777777,8.11111111111111,10.22222222222222,2.861111111111111,9.25,12.75,7.333333333333333,7.638888888888889,10.75,12.13888888888889,11.11111111111111,10.22222222222222,8.944444444444445,6.222222222222222,7.25,12.38888888888889,6.722222222222222,9.38888888888889,6.722222222222222,11.61111111111111,14.916666666666666,12.444444444444445,7.805555555555555,11.61111111111111,13,6.361111111111111,9.75,9.444444444444445,11.5,16.444444444444443,11.055555555555555,10.77777777777778,17.166666666666668,15.88888888888889,13.52777777777778,16.25,5.222222222222222,9.86111111111111,9.86111111111111,10.055555555555555
V1-01.08.2024-C1SN.V43.csv,4.5,9.75,13.666666666666666,10.22222222222222,10.416666666666666,11.916666666666666,4.472222222222222,11.416666666666666,11.25,10.47222222222222,8.277777777777779,9,7.083333333333333,8.63888888888889,9.97222222222222,7.916666666666667,7.75,6.777777777777778,8.277777777777779,8.472222222222221,3.9444444444444446,4.611111111111111,10.38888888888889,10.02777777777778,7.5,11.444444444444445,10.333333333333334,8.527777777777779,13.166666666666666,13.194444444444445,11.194444444444445,11.305555555555555,11.666666666666666,8.333333333333334,10.416666666666666,12.444444444444445,6.666666666666667,7.861111111111111,4.194444444444445,12.75,12.444444444444445,7.555555555555555,6.305555555555555,9.61111111111111,10.833333333333334,6.833333333333333,11.61111111111111,12.083333333333334,8.777777777777779,12.944444444444445,12.75,11,12.444444444444445,8.833333333333334,9.72222222222222,11,13.555555555555555,11.555555555555555,13.11111111111111,9.916666666666666
V1-01.08.2024-C1SN.V48.csv,4.5,6.722222222222222,9.805555555555555,8.166666666666666,10.583333333333334,10.055555555555555,6.611111111111111,9.36111111111111,9.194444444444445,7.916666666666667,9.61111111111111,10.75,6.944444444444445,7.388888888888889,11.61111111111111,10.166666666666666,7.194444444444445,6.833333333333333,8.944444444444445,9.25,7.611111111111111,4.111111111111111,10.38888888888889,11.36111111111111,8.88888888888889,13.055555555555555,8.055555555555555,13.305555555555555,13.833333333333334,13.77777777777778,9.97222222222222,12.52777777777778,9.97222222222222,6.777777777777778,11.916666666666666,13.833333333333334,5.333333333333333,13.305555555555555,8.666666666666666,9,15.416666666666666,13.416666666666666,8.36111111111111,12.22222222222222,13.833333333333334,7.5,12.5,14.02777777777778,9.72222222222222,13.916666666666666,13.88888888888889,14.083333333333334,17.833333333333332,13.916666666666666,9.61111111111111,15.27777777777778,13.77777777777778,13.88888888888889,13.77777777777778,12.444444444444445
V1-01.08.2024-C1SN.V49.csv,9.083333333333334,10.77777777777778,13.25,9.666666666666666,11.444444444444445,11.86111111111111,8.055555555555555,13.11111111111111,12.63888888888889,9.666666666666666,7.083333333333333,11,7.805555555555555,8.333333333333334,10.944444444444445,8.583333333333334,7.805555555555555,7.861111111111111,10.02777777777778,8.36111111111111,6.583333333333333,6.666666666666667,11.72222222222222,9.75,10.02777777777778,12.38888888888889,8.472222222222221,8.277777777777779,12.444444444444445,13.88888888888889,12.583333333333334,12.805555555555555,12.86111111111111,9.02777777777778,11,9.5,6.583333333333333,11.305555555555555,14.02777777777778,13.47222222222222,16.083333333333332,13.555555555555555,8.055555555555555,12.805555555555555,11.416666666666666,9.444444444444445,10.63888888888889,9.97222222222222,10.47222222222222,14.02777777777778,13.916666666666666,14.13888888888889,18.5,14.194444444444445,12.083333333333334,15.47222222222222,14.083333333333334,13.88888888888889,14.194444444444445,11.61111111111111
