archivo,Speed_1_media,Speed_1_maximo,Speed_1_desviacion,Speed_2_media,Speed_2_maximo,Speed_2_desviacion,Speed_3_media,Speed_3_maximo,Speed_3_desviacion,Speed_4_media,Speed_4_maximo,Speed_4_desviacion,Speed_5_media,Speed_5_maximo,Speed_5_desviacion,Speed_6_media,Speed_6_maximo,Speed_6_desviacion,Speed_7_media,Speed_7_maximo,Speed_7_desviacion,Speed_8_media,Speed_8_maximo,Speed_8_desviacion,Speed_9_media,Speed_9_maximo,Speed_9_desviacion,Speed_10_media,Speed_10_maximo,Speed_10_desviacion,Speed_11_media,Speed_11_maximo,Speed_11_desviacion,Speed_12_media,Speed_12_maximo,Speed_12_desviacion,Speed_13_media,Speed_13_maximo,Speed_13_desviacion,Speed_14_media,Speed_14_maximo,Speed_14_desviacion,Speed_15_media,Speed_15_maximo,Speed_15_desviacion,Speed_16_media,Speed_16_maximo,Speed_16_desviacion,Speed_17_media,Speed_17_maximo,Speed_17_desviacion,Speed_18_media,Speed_18_maximo,Speed_18_desviacion,Speed_19_media,Speed_19_maximo,Speed_19_desviacion,Speed_20_media,Speed_20_maximo,Speed_20_desviacion,Speed_21_media,Speed_21_maximo,Speed_21_desviacion
V1-01.08.2024-C1SN.M07.csv,4.726851851851852,15.22222222222222,4.052783868678294,6.54320987654321,15.055555555555555,5.4982850549924525,7.111111111111112,12.02777777777778,3.7017263239977343,5.868357487922705,10.63888888888889,3.17446781190802,7.515151515151516,11.25,3.6606087084968237,5.354166666666667,9.916666666666666,2.4641998309880653,4.249269005847953,8.88888888888889,2.857807262121635,4.684444444444445,8.88888888888889,2.482123327715964,6.875730994152047,12.333333333333334,3.1256188471065878,6.309027777777778,14.02777777777778,4.218369336815124,6.415032679738562,9.61111111111111,2.868374521344558,4.223684210526316,9.194444444444445,3.102507858826212,4.555555555555555,10.583333333333334,3.562864511504312,9.258771929824562,13.25,4.079657922511412,5.571895424836601,8.88888888888889,3.2736564665859555,5.068376068376068,9.13888888888889,3.2002486598148963,6.821111111111112,10.694444444444445,3.961135135764243,8.251388888888888,12.805555555555555,3.951495581761868,7.244791666666667,10.416666666666666,2.7140396873905845,6.165123456790123,10.694444444444445,2.7897197006564034,0,0,0
V1-01.08.2024-C1SN.M31.csv,5.045138888888889,13.833333333333334,4.449230362555789,7.9411764705882355,12.27777777777778,4.469675369881779,7.116161616161616,11.555555555555555,4.090824914958899,5.5473251028806585,11.305555555555555,3.829768988979818,6.095238095238095,10.055555555555555,3.518667391833668,5.257936507936508,10.88888888888889,2.3829342134042437,4.503174603174603,9.25,2.9600552034987695,3.4046296296296297,7.333333333333333,2.2032557874636787,6.912037037037037,12.27777777777778,3.216078349351093,7.773391812865497,12.38888888888889,4.532407531853124,7.027777777777778,10.38888888888889,3.7337810069401867,5.182748538011696,12.38888888888889,3.9724630397246234,5.8657407407407405,11.916666666666666,4.508080308273536,8.953703703703704,12.27777777777778,3.4955490943933905,5.630208333333333,10.22222222222222,3.7400446558534264,5.6726190476190474,10.38888888888889,3.859276428330128,7.815789473684211,11.666666666666666,4.510278333077784,8.859477124183007,14.944444444444445,5.498513324853138,7.0986590038314175,13.88888888888889,4.666020518185669,5.991919191919192,11.666666666666666,3.422920239423793,0,0,0
V1-01.08.2024-C1SN.T10.csv,7.089743589743589,14.916666666666666,3.6073254318303616,6.979166666666667,13.833333333333334,3.496732333221776,5.024074074074074,11.055555555555555,4.381421549143524,5.214743589743589,9.02777777777778,2.6376144020862995,6.391025641025641,10.694444444444445,3.198356331389418,5.694444444444445,9.25,2.0200626280990632,4.357407407407408,8.583333333333334,2.6863570349980415,4.59920634920635,9.38888888888889,2.921300174407743,6.089506172839506,9.916666666666666,2.8669756438398104,6.079710144927536,11.11111111111111,3.3650459514840914,5.218253968253968,10.02777777777778,3.4417135871867304,5.910256410256411,11,4.1867901991350465,7.277777777777779,10.77777777777778,4.354892062559441,7.906084656084656,11.416666666666666,3.8267805928816014,8.469907407407408,11.11111111111111,3.710282719444941,7.2253086419753085,10.944444444444445,3.395696840146117,7.583333333333333,11.194444444444445,4.000741078198991,7.949074074074074,11.36111111111111,4.384359477129054,7.979700854700855,12.02777777777778,3.5737948645792565,5.541187739463601,10.47222222222222,2.8923788775400294,0,0,0
V1-01.08.2024-C1SN.T81.csv,5.268733850129199,12.22222222222222,3.8549478851243895,5.900205761316872,10.22222222222222,2.873151778642825,5.698717948717948,9.97222222222222,3.6983383502198053,5.612179487179487,10.02777777777778,3.39170630397469,5.6535087719298245,11.444444444444445,3.8300595299781786,5.055555555555555,8.277777777777779,2.047657499331346,4.843253968253968,10.47222222222222,2.681587780591559,4.616959064327485,10.055555555555555,3.5746926511739963,6.454166666666667,12.583333333333334,4.4250791100221605,6.3,11.666666666666666,3.6159616545891895,5.083333333333333,9.555555555555555,3.3726589706396255,4.3391812865497075,10.27777777777778,3.608873700822988,6.358585858585858,12.166666666666666,5.235834129801322,6.880050505050505,14.25,5.131797526472276,6.710069444444445,12.13888888888889,4.388021113812864,5.797979797979798,12.083333333333334,4.440572808623553,9.272569444444445,13.305555555555555,4.42777218678489,8.748538011695906,15.72222222222222,5.014301167039792,9.191919191919192,13.916666666666666,4.401728498895809,6.246913580246914,12.52777777777778,3.3402734646810575,0,0,0
V1-01.08.2024-C1SN.V12.csv,5.711711711711712,12.86111111111111,4.436505985924162,5.743386243386244,12.333333333333334,4.269345086333073,7.569444444444445,12.444444444444445,4.61550159118937,9.031045751633986,13.416666666666666,4.027417157622305,6.8462962962962965,11.36111111111111,3.4967840268275516,5.5092592592592595,8.944444444444445,2.232627881098995,6.138888888888889,12.333333333333334,3.5299306977962135,3.589080459770115,12.38888888888889,3.5319106158953413,8.037037037037036,14.02777777777778,4.454349907469949,9.81547619047619,14.583333333333334,5.147164820677725,8.722222222222223,12.5,4.052859326978897,5.32037037037037,11.555555555555555,3.811805010333278,6.299603174603175,13.833333333333334,4.63384082992329,10.05952380952381,14.944444444444445,5.307617592115867,6.5,11.805555555555555,3.827100911772368,5.838383838383838,10.166666666666666,3.3458519136474587,8.089506172839506,14.02777777777778,5.281797192848226,9.788194444444445,16.75,5.200900869653937,10.646198830409357,15.583333333333334,4.779947129032886,7.596618357487923,14.083333333333334,4.415638668820337,0,0,0
V1-01.08.2024-C1SN.V15.csv,4.80749354005168,10.77777777777778,3.0854858980561026,6.064009661835748,11.194444444444445,3.590778370847243,5.692708333333333,8.222222222222221,2.479389708817333,6.43,12.52777777777778,3.9971948754630398,5.746296296296296,8.055555555555555,2.5335897484639176,4.628136200716846,7.388888888888889,2.1673156366567503,3.998708010335917,7.916666666666667,2.1539440729472594,4.83695652173913,8.666666666666666,2.8609432179314536,7.527777777777778,11.77777777777778,3.7747128089595714,7.662037037037037,11.86111111111111,3.777612573281256,7.617063492063492,11.13888888888889,3.390905568009413,5.038888888888889,11.11111111111111,4.246611368241127,4.5018518518518515,11.055555555555555,3.850125210787555,6.211111111111111,12.444444444444445,4.645883504683974,7.542735042735043,11.36111111111111,3.8349200853184318,6.6419753086419755,10.77777777777778,3.8571733628612006,7.402116402116403,11.77777777777778,4.296725883923194,9.419753086419753,12.166666666666666,3.3292170784135595,8.085555555555555,11.72222222222222,4.046674382708693,6.969298245614035,11.555555555555555,3.7104160231548744,0,0,0
V1-01.08.2024-C1SN.V42.csv,5.306146572104019,11.305555555555555,3.4418307120025444,6.976851851851852,12.583333333333334,4.047772660071867,7.378787878787879,11.5,3.785292214515345,7.4563492063492065,12.083333333333334,3.8544263819258586,5.629084967320262,8.416666666666666,2.663969649896575,4.062091503267974,7.388888888888889,1.6215852899487182,3.6815245478036176,8.583333333333334,1.9176857657740871,3.893849206349206,10.22222222222222,3.30153777311723,6.919082125603865,12.75,3.333406070791809,6.224537037037037,12.13888888888889,4.194215822757033,7.192460317460317,11.11111111111111,3.493455832288469,5.7023809523809526,12.38888888888889,4.0747326215077315,4.075617283950617,9.38888888888889,3.131524496946785,8.008771929824562,14.916666666666666,5.103616457550478,6.994047619047619,13,4.929996399875072,4.734126984126984,9.75,3.6667591655924325,9.307291666666666,16.444444444444443,5.063348376813452,10.928571428571429,17.166666666666668,6.021888634097783,6.625448028673835,16.25,5.760555131248319,6.283730158730158,10.055555555555555,2.5914135297344476,0,0,0
V1-01.08.2024-C1SN.V43.csv,6.0776143790849675,13.666666666666666,3.7565367607536597,7.296783625730994,11.916666666666666,3.9672122925000655,7.358796296296296,11.416666666666666,4.352287257035269,5.501915708812261,10.47222222222222,2.9659752166170525,6.472222222222222,9.97222222222222,3.2005237581817227,5.422413793103448,7.916666666666667,2.01479015561447,3.7006944444444443,8.472222222222221,2.5570143821748323,4.822649572649573,10.38888888888889,3.5474480213792376,6.893790849673203,11.444444444444445,3.6038419797835957,7.2236111111111105,13.194444444444445,4.720652258802591,9.869444444444445,11.666666666666666,1.8010651664728932,6.615384615384616,12.444444444444445,4.075481335559342,3.857843137254902,7.861111111111111,2.477344925775096,7.641666666666667,12.75,3.5411337174975728,5.118421052631579,10.833333333333334,3.470269106309238,7.564814814814815,12.083333333333334,4.440688517130293,8.33179012345679,12.944444444444445,4.510663475309696,8.258771929824562,12.444444444444445,3.1139351797692867,8.791666666666666,13.555555555555555,3.6388934985404293,6.7206196581196584,13.11111111111111,3.385799930929304,0,0,0
V1-01.08.2024-C1SN.V48.csv,5.172480620155039,9.805555555555555,2.8364152119166337,5.593253968253968,10.583333333333334,3.2257343415005697,6.467592592592593,9.36111111111111,3.301570752701153,7.442901234567901,10.75,3.77667794714733,6.6875,11.61111111111111,3.4647318197072026,5.113984674329502,10.166666666666666,2.017400398185687,5.234375,9.25,2.584329764087776,5.65032679738562,11.36111111111111,3.773435755642433,8.288194444444445,13.055555555555555,3.4068116679295235,8.491228070175438,13.833333333333334,4.841902548311343,8.296296296296296,12.52777777777778,2.56162359662858,8.21111111111111,13.833333333333334,4.8104182205698205,6.242424242424243,13.305555555555555,5.080161288831166,7.984126984126984,15.416666666666666,5.374196547964654,8.25462962962963,13.833333333333334,5.217462817945182,8.083333333333334,14.02777777777778,5.2580038929494535,10.238888888888889,13.916666666666666,4.538219530601897,11.341880341880342,17.833333333333332,5.575835492297424,10.310846560846562,15.27777777777778,4.915211798618575,8.162345679012345,13.88888888888889,4.134187196087136,0,0,0
V1-01.08.2024-C1SN.V49.csv,6.385416666666667,13.25,4.08414188051589,6.265151515151515,11.86111111111111,4.443582223814248,8.269097222222223,13.11111111111111,4.028687237680967,5.421783625730994,11,3.5958551338230644,7.164141414141414,10.944444444444445,3.017559685058222,5.204954954954955,8.583333333333334,2.059424030754609,5.176829268292683,10.02777777777778,2.6958813186063737,5.616858237547893,11.72222222222222,3.7882629011924123,7.392222222222222,12.38888888888889,3.9677950594435765,6.7745098039215685,13.88888888888889,4.54885133637572,8.216931216931217,12.86111111111111,3.9628737998672516,4.8693415637860085,11,3.3850406798867367,7.972222222222222,14.02777777777778,4.75827115131932,8.263020833333334,16.083333333333332,5.548449686667249,7.588624338624339,12.805555555555555,3.615591441206223,5.85672514619883,10.63888888888889,3.3345196340411296,10.214444444444444,14.02777777777778,4.284577928418545,11.835555555555556,18.5,5.033835617976275,10.595959595959595,15.47222222222222,4.464462789096811,7.302511415525114,14.194444444444445,4.000408719805232,0,0,0
