archivo,MeanVel_Int1_Sub1,MeanVel_Int1_Sub2,MeanVel_Int1_Sub3,MeanVel_Int2_Sub1,MeanVel_Int2_Sub2,MeanVel_Int2_Sub3,MeanVel_Int3_Sub1,MeanVel_Int3_Sub2,MeanVel_Int3_Sub3,MeanVel_Int4_Sub1,MeanVel_Int4_Sub2,MeanVel_Int4_Sub3,MeanVel_Int5_Sub1,MeanVel_Int5_Sub2,MeanVel_Int5_Sub3,MeanVel_Int6_Sub1,MeanVel_Int6_Sub2,MeanVel_Int6_Sub3,MeanVel_Int7_Sub1,MeanVel_Int7_Sub2,MeanVel_Int7_Sub3,MeanVel_Int8_Sub1,MeanVel_Int8_Sub2,MeanVel_Int8_Sub3,MeanVel_Int9_Sub1,MeanVel_Int9_Sub2,MeanVel_Int9_Sub3,MeanVel_Int10_Sub1,MeanVel_Int10_Sub2,MeanVel_Int10_Sub3,MeanVel_Int11_Sub1,MeanVel_Int11_Sub2,MeanVel_Int11_Sub3,MeanVel_Int12_Sub1,MeanVel_Int12_Sub2,MeanVel_Int12_Sub3,MeanVel_Int13_Sub1,MeanVel_Int13_Sub2,MeanVel_Int13_Sub3,MeanVel_Int14_Sub1,MeanVel_Int14_Sub2,MeanVel_Int14_Sub3,MeanVel_Int15_Sub1,MeanVel_Int15_Sub2,MeanVel_Int15_Sub3,MeanVel_Int16_Sub1,MeanVel_Int16_Sub2,MeanVel_Int16_Sub3,MeanVel_Int17_Sub1,MeanVel_Int17_Sub2,MeanVel_Int17_Sub3,MeanVel_Int18_Sub1,MeanVel_Int18_Sub2,MeanVel_Int18_Sub3,MeanVel_Int19_Sub1,MeanVel_Int19_Sub2,MeanVel_Int19_Sub3,MeanVel_Int20_Sub1,MeanVel_Int20_Sub2,MeanVel_Int20_Sub3
V1-01.08.2024-C1SN.M07.csv,1.359126984126984,3.7916666666666665,9.029761904761905,1.9351851851851851,6.097222222222222,11.597222222222221,3.486111111111111,9.63888888888889,8.574074074074074,4.645833333333333,5.3125,7.90079365079365,3.8680555555555554,9.45138888888889,9.796296296296296,5.722222222222222,5.694444444444445,4.604938271604938,4.0405982905982905,5.747863247863248,2.8518518518518516,3.4228395061728394,4.53125,6.256944444444445,4.535714285714286,9.351851851851851,7.129629629629629,5.729166666666666,10.184027777777779,3.013888888888889,8.018518518518519,6.527777777777779,4.355555555555555,2.8015873015873014,2.060185185185185,8.046296296296296,2.638888888888889,8.916666666666666,2.111111111111111,4.801587301587301,12.356481481481481,11.36111111111111,4.912037037037037,6.708333333333333,5,3.6277777777777778,6.916666666666667,5.020833333333333,6.148148148148148,10.440972222222221,3.9583333333333335,9.28968253968254,10.373015873015873,4.564814814814815,5.6313131313131315,8.926767676767676,7.169444444444444,7.847222222222222,5.1003086419753085,5.547839506172839
V1-01.08.2024-C1SN.M31.csv,1.4305555555555556,4.0747863247863245,9.908119658119658,4.2407407407407405,8.902777777777779,11.227777777777778,2.9652777777777777,10.777777777777779,7.768518518518518,6.117283950617285,5.478395061728396,5.046296296296296,1.7333333333333334,8.033333333333333,9.125,5.966666666666667,5.435185185185185,4.29320987654321,5.333333333333333,5.511574074074074,2.4974747474747474,2.5777777777777775,4.558333333333334,3.0777777777777775,4.916666666666666,10.458333333333334,5.361111111111111,5.761904761904762,10.86574074074074,7.027777777777778,2.5555555555555554,9.377777777777778,9.680555555555555,1.6785714285714286,4.550925925925926,9.902777777777777,2.7152777777777777,11.07638888888889,3.805555555555556,4.967592592592593,11.023148148148149,10.87037037037037,3.4166666666666665,9.266666666666666,4.6499999999999995,3.9722222222222223,6.333333333333333,6.972222222222222,3.4087301587301586,11.273148148148149,9.5,2.060185185185185,13.037037037037036,12.005555555555556,8.675,8.105555555555556,4.228395061728395,6.711988304093567,6.132716049382716,5.091049382716049
V1-01.08.2024-C1SN.T10.csv,3.8055555555555554,6.583333333333333,11.354166666666666,3.611111111111111,6.8125,10.51388888888889,0.5,5.311111111111111,9.261111111111111,5.191358024691358,5.938271604938272,4.427083333333333,3.75,6.819444444444445,9.26388888888889,5.003968253968254,6.523809523809524,5.532407407407407,3.591666666666667,7.044444444444444,2.4361111111111113,3.158730158730159,7.388888888888889,3.25,5.648148148148148,8.86574074074074,3.7546296296296298,4.833333333333333,7.291666666666666,6.119047619047619,4.650793650793651,4.9603174603174605,6.043650793650794,4.777777777777778,10.520833333333334,2.7152777777777777,1.75,9.305555555555557,10.77777777777778,6.246031746031745,10.785714285714286,6.686507936507937,4.798611111111111,10.01388888888889,10.597222222222221,3.638888888888889,9.092592592592592,8.944444444444445,6.51984126984127,10.666666666666668,5.226851851851852,2.574074074074074,10.61111111111111,10.662037037037038,6.898148148148149,10.194444444444445,6.704861111111112,6.561111111111111,5.252923976608187,4.755847953216374
V1-01.08.2024-C1SN.T81.csv,2.446296296296296,4.382936507936508,9.178571428571429,3.382716049382716,6.570987654320987,7.746913580246914,2.0944444444444446,8.652777777777777,7.25,4.21604938271605,4.521604938271604,8.409722222222223,1.4365079365079365,7.675925925925926,8.550925925925926,4.861111111111111,5.354938271604938,4.9375,2.9,7.6913580246913575,4.154320987654321,2.4126984126984126,9.097222222222221,2.7083333333333335,5.607142857142857,11.178571428571429,1.9305555555555556,7.134920634920634,6.567460317460317,5.013888888888888,4.718253968253968,3.189814814814815,7.402777777777778,4.396825396825397,2.916666666666667,5.694444444444445,1.0208333333333335,7.888888888888889,11.435185185185185,2.5034722222222223,12.206349206349207,6.555555555555556,4.810185185185185,9.877777777777778,5.822222222222223,3.9791666666666665,10.034722222222221,2.574074074074074,5.763888888888889,13.044444444444444,9.711111111111112,5.134920634920635,13.337962962962964,8.375,5.402777777777778,12.833333333333334,9.880952380952381,6.9907407407407405,5.805555555555555,5.944444444444445
V1-01.08.2024-C1SN.V12.csv,1.4316239316239316,5.743055555555555,10.31712962962963,2.503968253968254,6.7063492063492065,8.019841269841269,4.104166666666667,12.231481481481481,7.527777777777779,6.763888888888889,11.703703703703704,8.544444444444444,3.8444444444444446,8.205555555555556,8.488888888888889,4.9753086419753085,6.666666666666666,4.885802469135802,5.444444444444445,9.62037037037037,3.351851851851852,1.7777777777777777,6.272222222222222,2.6203703703703702,4.383333333333334,10.322222222222223,9.405555555555555,6.300000000000001,13.238888888888889,9.930555555555555,5.438888888888889,10.375,11.173611111111112,4.138888888888889,5.038888888888889,6.783333333333333,4.677777777777778,9.183333333333334,4.722222222222222,3.838888888888889,13.305555555555555,13.777777777777777,4.462962962962963,8.180555555555555,6.927777777777778,3.5069444444444446,7.145833333333333,7.203703703703703,2.75,13.49537037037037,8.023148148148147,7.638888888888889,12.872222222222222,9.283333333333333,7.051587301587301,13.962962962962962,11.523148148148149,9.777777777777777,5.479629629629629,7.387037037037037
V1-01.08.2024-C1SN.V15.csv,3.2944444444444443,5.565476190476191,5.670634920634921,1.7673611111111112,9.163194444444445,7.432539682539683,4.351851851851852,7.794444444444444,5.2,8.151234567901234,8.590277777777779,2.3333333333333335,2.7888888888888888,6.777777777777778,7.6722222222222225,4.356060606060606,6.3277777777777775,3.227777777777778,4.614814814814815,5.10515873015873,2.232142857142857,4.211805555555555,7.576388888888888,2.4206349206349205,5.8,10.916666666666668,5.866666666666667,6.277777777777778,10.36111111111111,6.347222222222222,8.799999999999999,9.855555555555556,3.3402777777777777,1.211111111111111,6.966666666666667,6.938888888888889,2.1944444444444446,9.21111111111111,2.1,4.287037037037037,11.208333333333332,3.378472222222222,3.5388888888888888,9.458333333333334,10.631944444444445,2.5277777777777777,8.037037037037038,9.361111111111112,5.321428571428572,11.162698412698413,5.722222222222222,6.916666666666666,10.814814814814815,10.527777777777779,4.246913580246914,11.104166666666666,9.385416666666666,8.89327485380117,3.891812865497076,8.12280701754386
V1-01.08.2024-C1SN.V42.csv,2.3993055555555554,4.161458333333333,9.627777777777778,2.439814814814815,7.6759259259259265,10.814814814814815,3.5277777777777777,10.527777777777779,8.314814814814815,6.119047619047619,10.61111111111111,5.638888888888888,2.810185185185185,7.587962962962963,6.661111111111111,3.0462962962962963,5.598484848484849,3.6338383838383836,3.5074074074074075,5.329365079365079,2.2202380952380953,4.233333333333333,6.037037037037037,1.373456790123457,6.434027777777778,10.166666666666666,3.761904761904762,4.277777777777778,6.260416666666666,8.135416666666668,8.661111111111111,6.794444444444444,5.854166666666667,3.5888888888888886,4.027777777777778,10.4375,2.037037037037037,6.495370370370371,3.6944444444444446,5.432539682539683,13.333333333333334,5.689814814814815,2.588888888888889,7.522222222222222,11.840277777777779,2.8166666666666664,5.822222222222222,5.770833333333333,5.398148148148149,14.905555555555555,8.4,4.083333333333334,15.105555555555556,14.26388888888889,4.843434343434344,13.144444444444446,2.0666666666666664,5.8845029239766085,7.140350877192982,5.800925925925926
V1-01.08.2024-C1SN.V43.csv,2.9791666666666665,5.242424242424242,10.292929292929292,3.7420634920634916,8.069444444444445,10.671296296296296,2.0555555555555554,9.347222222222221,10.67361111111111,5.616666666666666,4.472222222222222,6.518518518518518,2.9722222222222223,8.05,8.875,5.413888888888889,6.227777777777778,4.537037037037037,4.1686507936507935,4.918803418803419,1.9786324786324787,2.484567901234568,8.080246913580247,3.788194444444445,3.185185185185185,9.689814814814815,7.98888888888889,3.6666666666666665,10.178571428571429,7.925925925925926,8.63888888888889,10.601851851851851,10.777777777777779,2.9833333333333334,7.472222222222222,10.29861111111111,2.814814814814815,6.032407407407407,2.5,5.551587301587301,10.793650793650794,6.402777777777778,2.948412698412698,7.916666666666667,4.851851851851852,2.8055555555555554,8.805555555555555,11.083333333333332,3.527777777777778,12.231481481481481,9.23611111111111,6.503968253968254,10.416666666666666,8.148148148148149,5.357638888888888,9.118055555555555,11.899305555555555,6.061728395061729,7.828431372549019,6.310457516339869
V1-01.08.2024-C1SN.V48.csv,2.816666666666667,4.567460317460317,8.301587301587302,3.411111111111111,5.163580246913581,8.44753086419753,2.881944444444444,8.902777777777779,7.618055555555555,3.087962962962963,9.046296296296296,10.194444444444443,3.1805555555555554,6.833333333333333,10.04861111111111,5.180555555555555,5.694444444444445,4.395061728395062,5.03030303030303,7.03030303030303,3.4833333333333334,2.7314814814814814,8.203703703703702,6.088888888888889,7.351851851851851,12.033333333333333,5.666666666666667,8.198412698412698,9.722222222222223,7.601851851851853,6.055555555555555,10.270833333333336,8.5625,3.423611111111111,9.833333333333332,12.972222222222221,2.9097222222222223,11.666666666666668,3.4537037037037033,4.6190476190476195,13.78968253968254,5.5436507936507935,3.2916666666666665,7.909722222222221,13.562500000000002,3.1666666666666665,9.194444444444445,13.791666666666668,5.216666666666666,13.322222222222223,12.177777777777777,6.255555555555556,15.54861111111111,13.493055555555555,4.595238095238095,13.940476190476192,12.396825396825397,10.07962962962963,6.888888888888889,7.518518518518518
V1-01.08.2024-C1SN.V49.csv,3.8993055555555554,4.444444444444445,10.8125,3.042929292929293,4.724747474747475,11.027777777777777,4.166666666666667,11.088888888888889,10.372222222222224,4.10042735042735,3.376068376068376,9.069444444444445,4.135416666666667,7.873015873015873,9.916666666666666,4.5747863247863245,6.449074074074074,4.643518518518518,5.8353174603174605,6.696428571428571,2.8311965811965814,3.397222222222222,9.847222222222223,3.382716049382716,5.944444444444445,11.430555555555555,4.982638888888888,4.638888888888889,6.3813131313131315,9.497474747474747,8.392857142857142,11.134920634920636,5.1230158730158735,4.7253086419753085,4.867283950617284,5.015432098765432,2.9722222222222223,8.61111111111111,13.423611111111112,6.267676767676767,13.765151515151516,4.405555555555556,4.305555555555555,10.654761904761905,7.805555555555555,4.916666666666667,6.856481481481481,5.953703703703703,5.762345679012346,13.36111111111111,12.07638888888889,6.654320987654321,15.635416666666668,13.864583333333334,5.55050505050505,13.964646464646465,12.272727272727273,7.484444444444444,7.2280092592592595,7.1875
