Teorico,Practico,Time[s],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],dist_Acum
1.0,,0.0,-0.338686,-78.549093,1.2222222222222223,0.0,3065,0.0
,,5.0,-0.338638,-78.549103,1.3333333333333333,5.453661797380093,3065,5.453661797380093
,,10.0,-0.338591,-78.549113,0.0,5.344818033509208,3065,10.7984798308893
,,64.0,-0.338591,-78.549113,0.0,0.0,3065,10.7984798308893
,,65.0,-0.338591,-78.549113,0.0,0.0,3065,10.7984798308893
,,368.0,-0.338591,-78.549113,0.0,0.0,3065,10.7984798308893
,,369.0,-0.338591,-78.549113,0.0,0.0,3065,10.7984798308893
,,440.0,-0.338591,-78.549113,0.0,0.0,3065,10.7984798308893
,1.0,441.0,-0.338591,-78.549113,0.0,0.0,3065,10.7984798308893
,,448.0,-0.338556,-78.549115,1.2222222222222223,3.899394751778647,3072,14.697874582667948
,,448.0,-0.338556,-78.549115,1.2222222222222223,0.0,3072,14.697874582667948
,,448.0,-0.338556,-78.549115,1.2222222222222223,0.0,3072,14.697874582667948
,,448.0,-0.338556,-78.549115,1.2222222222222223,0.0,3072,14.697874582667948
,,453.0,-0.338436,-78.549146,3.2222222222222223,13.785755017007038,3072,28.483629599674984
,,457.0,-0.338333,-78.549195,2.861111111111111,12.686988218504775,3072,41.17061781817976
,,460.0,-0.338263,-78.549251,3.5277777777777777,9.970990349264534,3072,51.14160816744429
,,463.0,-0.338195,-78.549338,4.305555555555555,12.28207869084303,3072,63.42368685828732
,,468.0,-0.338078,-78.549506,5.027777777777778,22.771443767522353,3071,86.19513062580967
,,470.0,-0.337998,-78.549575,6.25,11.750859020474595,3070,97.94598964628426
,,471.0,-0.337945,-78.5496,6.833333333333333,6.518085550131068,3070,104.46407519641532
,,472.0,-0.337881,-78.549618,7.277777777777778,7.394892535633296,3070,111.85896773204863
,,477.0,-0.337503,-78.549688,9.555555555555555,42.759709355907084,3069,154.61867708795572
,,482.0,-0.33702,-78.549781,12.027777777777779,54.7107993669959,3069,209.32947645495162
,,487.0,-0.336446,-78.549886,13.305555555555555,64.90531157598518,3068,274.2347880309368
,,492.0,-0.335845,-78.55,13.666666666666666,68.04107666692899,3068,342.27586469786576
,,497.0,-0.335223,-78.550093,13.972222222222221,69.95398907734,3068,412.22985377520575
,,502.0,-0.33459,-78.550166,14.13888888888889,70.87512412452324,3067,483.10497789972896
,,507.0,-0.333986,-78.550223,12.86111111111111,67.48130638271866,3067,550.5862842824477
,,512.0,-0.333416,-78.55028,12.527777777777779,63.71721069127237,3067,614.30349497372
,,517.0,-0.33291,-78.550321,10.277777777777779,56.466747345910996,3067,670.770242319631
,,522.0,-0.33255,-78.550355,9.305555555555555,40.220923174750176,3067,710.9911654943812
,,527.0,-0.332185,-78.55039,3.8055555555555554,40.78510857336313,3067,751.7762740677443
,,532.0,-0.332161,-78.550391,0.0,2.6718322030691075,3066,754.4481062708135
,,539.0,-0.33213,-78.550391,1.3333333333333333,3.448124830120156,3066,757.8962311009336
,,544.0,-0.332053,-78.550396,1.5277777777777777,8.582734350131753,3065,766.4789654510654
,,549.0,-0.33204,-78.550396,0.0,1.445987831981057,3066,767.9249532830464
1.0,1.0,554.0,-0.331948,-78.550395,3.3333333333333335,10.233749128956358,3067,778.1587024120028
,,559.0,-0.331755,-78.55042,4.916666666666667,21.646702739029266,3067,799.805405151032
,,564.0,-0.331515,-78.550468,5.138888888888889,27.223810786537463,3067,827.0292159375695
,,569.0,-0.331423,-78.550478,0.0,10.29341613588083,3066,837.3226320734503
,,576.0,-0.331371,-78.550488,1.1111111111111112,5.889928620794883,3066,843.2125606942452
,,581.0,-0.331371,-78.550488,0.0,0.0,3066,843.2125606942452
,,615.0,-0.331236,-78.550496,1.3888888888888888,15.042369089873612,3067,858.2549297841189
,,620.0,-0.331075,-78.550501,5.5,17.916636636962235,3067,876.1715664210811
,,625.0,-0.330715,-78.550505,10.027777777777779,40.0452115780162,3066,916.2167779990973
,,630.0,-0.330165,-78.550498,13.416666666666666,61.18136269432465,3064,977.398140693422
,,635.0,-0.329538,-78.550463,14.194444444444445,69.84967485860186,3061,1047.247815552024
,,640.0,-0.328918,-78.550426,12.944444444444445,69.08518473713929,3057,1116.3330002891632
,,645.0,-0.328453,-78.550396,12.75,51.82939891312646,3053,1168.1623992022896
,,650.0,-0.3278,-78.550358,11.055555555555555,72.75595619234957,3047,1240.918355394639
,,655.0,-0.327306,-78.550326,11.416666666666666,55.06269591624185,3043,1295.981051310881
,,660.0,-0.32678,-78.550296,11.61111111111111,58.60197052626383,3039,1354.5830218371448
,,665.0,-0.326316,-78.550268,8.36111111111111,51.70452421071272,3035,1406.2875460478574
,,670.0,-0.326098,-78.550261,1.2777777777777777,24.26060061899736,3033,1430.5481466668548
,,672.0,-0.326098,-78.550261,0.0,0.0,3033,1430.5481466668548
,,673.0,-0.326098,-78.550261,0.0,0.0,3033,1430.5481466668548
1.0,,682.0,-0.326066,-78.550261,2.0,3.5593546633418125,3034,1434.1075013301966
,1.0,687.0,-0.325826,-78.550248,7.75,26.734292196445608,3032,1460.841793526642
,,692.0,-0.325431,-78.550245,9.305555555555555,43.93705124180282,3028,1504.778844768445
,,697.0,-0.325001,-78.550216,10.166666666666666,47.93747381736238,3025,1552.7163185858074
,,702.0,-0.324481,-78.550188,12.222222222222221,57.92330008071196,3022,1610.6396186665193
,,707.0,-0.323901,-78.550118,13.25,64.98143988716812,3019,1675.6210585536874
,,712.0,-0.323311,-78.549991,13.777777777777779,67.1287005023011,3015,1742.7497590559885
,,717.0,-0.322716,-78.54985,13.472222222222221,68.01459811387723,3010,1810.7643571698657
,,722.0,-0.322118,-78.54973,13.61111111111111,67.84140361581657,3006,1878.6057607856822
