Teorico,Practico,Time[s],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],dist_Acum
1.0,,0.0,-0.338856,-78.549113,4.5,0.0,3060,0.0
,,5.0,-0.338655,-78.549156,3.0277777777777777,22.863057601727355,3059,22.863057601727355
,,10.0,-0.33859,-78.549166,0.0,7.314997240095098,3060,30.178054841822455
,,61.0,-0.33859,-78.549166,0.0,0.0,3060,30.178054841822455
,,62.0,-0.33859,-78.549166,0.0,0.0,3060,30.178054841822455
,,62.0,-0.33859,-78.549166,0.0,0.0,3060,30.178054841822455
,1.0,62.0,-0.33859,-78.549166,0.0,0.0,3060,30.178054841822455
,,214.0,-0.338551,-78.549166,1.4722222222222223,4.337963495954226,3055,34.51601833777668
,,219.0,-0.33841,-78.549191,3.0277777777777777,15.928010437535317,3056,50.44402877531199
,,223.0,-0.338341,-78.549218,2.3055555555555554,8.24150359925732,3056,58.68553237456931
,,225.0,-0.338293,-78.549248,3.9444444444444446,6.296010057420765,3056,64.98154243199008
,,227.0,-0.338233,-78.54931,5.027777777777778,9.596669976813372,3056,74.57821240880345
,,232.0,-0.33812,-78.549455,2.0833333333333335,20.447319328916375,3055,95.02553173771983
,,237.0,-0.338093,-78.549495,0.0,5.367855738265549,3055,100.39338747598538
,,242.0,-0.338078,-78.54952,1.2222222222222223,3.242837522483751,3055,103.63622499846913
,,245.0,-0.338031,-78.549576,3.638888888888889,8.131875215035603,3055,111.76810021350474
,,246.0,-0.338001,-78.549598,4.416666666666667,4.13796381081032,3055,115.90606402431506
,,248.0,-0.337906,-78.549638,6.305555555555555,11.465278744529163,3055,127.37134276884422
,,253.0,-0.337525,-78.549715,10.527777777777779,43.23533721638786,3055,170.60667998523206
,,258.0,-0.336975,-78.549821,13.916666666666666,62.30217297176469,3054,232.90885295699675
,,263.0,-0.336346,-78.549928,14.194444444444445,70.96860888553607,3053,303.87746184253285
,,268.0,-0.335855,-78.550018,13.916666666666666,55.523713597021974,3054,359.40117543955483
,,273.0,-0.335118,-78.550141,13.972222222222221,83.11016037674888,3053,442.5113358163037
,,278.0,-0.33449,-78.550213,13.88888888888889,70.30990963870946,3054,512.8212454550131
,,283.0,-0.33387,-78.55027,13.194444444444445,69.25331359924834,3054,582.0745590542615
,,288.0,-0.333325,-78.550316,10.472222222222221,60.835797352439855,3055,642.9103564067013
,,293.0,-0.332996,-78.550346,3.5833333333333335,36.74643313903541,3055,679.6567895457367
,,298.0,-0.332975,-78.55035,0.0,2.377820841405829,3055,682.0346103871426
,,330.0,-0.33293,-78.550375,1.6388888888888888,5.725883316897053,3053,687.7604937040396
,,335.0,-0.332803,-78.550386,4.916666666666667,14.179075471489128,3053,701.9395691755287
,,340.0,-0.332491,-78.550416,7.972222222222222,34.86376112249066,3053,736.8033302980194
,,345.0,-0.332173,-78.550448,2.861111111111111,35.54971691341726,3053,772.3530472114367
,,350.0,-0.332153,-78.55045,0.0,2.2356916066048136,3053,774.5887388180415
,,358.0,-0.332125,-78.550458,1.2777777777777777,3.2390575283295027,3054,777.827796346371
