Teorico,Practico,Time[s],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],dist_Acum
1.0,,0.0,-0.338696,-78.5491,1.2777777777777777,0.0,3065,0.0
,,5.0,-0.338586,-78.549125,3.75,12.547286337697106,3065,12.547286337697106
,,10.0,-0.338541,-78.549136,0.0,5.152710199319907,3065,17.699996537017014
,1.0,10.0,-0.338541,-78.549136,0.0,0.0,3065,17.699996537017014
,,208.0,-0.338516,-78.54915,2.5,3.187065982509528,3062,20.88706251952654
,,213.0,-0.33837,-78.54919,4.916666666666667,16.837986766670323,3062,37.725049286196864
,,216.0,-0.338251,-78.549265,4.305555555555555,15.645813033672324,3062,53.37086231986919
,,218.0,-0.338188,-78.549338,6.222222222222222,10.725356096234494,3062,64.09621841610368
,,222.0,-0.338026,-78.549551,8.722222222222221,29.765448394843748,3061,93.86166681094743
,,224.0,-0.33787,-78.549638,10.472222222222221,19.867758318203883,3061,113.72942512915131
,,229.0,-0.33744,-78.549733,13.472222222222221,48.9821490111552,3061,162.7115741403065
,,234.0,-0.336686,-78.549873,13.916666666666666,85.30068780075676,3061,248.0122619410633
,,239.0,-0.33619,-78.549965,13.36111111111111,56.11098144797164,3060,304.12324338903494
,,244.0,-0.335443,-78.550096,14.027777777777779,84.35662122491824,3060,388.47986461395317
,,249.0,-0.334946,-78.550163,13.833333333333334,55.78127301181763,3060,444.2611376257708
,,250.0,-0.334695,-78.550188,14.083333333333334,28.05682503097081,3059,472.3179626567416
,,255.0,-0.334195,-78.550238,13.722222222222221,55.89229003813988,3059,528.2102526948814
,,260.0,-0.333441,-78.550311,13.722222222222221,84.25943033048983,3058,612.4696830253713
,,265.0,-0.332945,-78.550358,13.61111111111111,55.41712362893916,3058,667.8868066543105
,,270.0,-0.332336,-78.55042,7.638888888888889,68.08909238118326,3059,735.9758990354937
,,275.0,-0.332156,-78.55044,1.9444444444444444,20.14457544445511,3059,756.1204744799488
,,280.0,-0.332156,-78.55044,0.0,0.0,3059,756.1204744799488
,,288.0,-0.332098,-78.550436,2.1944444444444446,6.466653659541951,3060,762.5871281394908
1.0,1.0,293.0,-0.331941,-78.550446,5.944444444444445,17.498470288383412,3059,780.0855984278742
,,298.0,-0.331471,-78.550508,9.666666666666666,52.73090374425043,3059,832.8165021721246
,,303.0,-0.331268,-78.550528,3.0277777777777777,22.688973895813962,3059,855.5054760679386
,,308.0,-0.331268,-78.550528,0.0,0.0,3059,855.5054760679386
,,320.0,-0.33122,-78.550523,1.9444444444444444,5.367918982429571,3061,860.8733950503682
,,325.0,-0.331085,-78.550521,5.277777777777778,15.017675189922768,3061,875.891070240291
,,330.0,-0.330636,-78.550526,10.694444444444445,49.94529151977873,3060,925.8363617600697
,,335.0,-0.330185,-78.550521,13.88888888888889,50.16773745609017,3059,976.00409921616
