Tiempo,Velocidad,Latitud,Longitud,T_acumulado_min
2024-09-30 11:14:17,16.1,-0.33969,-78.548866,57.48333333333334
2024-09-30 11:14:18,17.2,-0.339675,-78.548905,57.50000000000001
2024-09-30 11:14:19,17.5,-0.339646,-78.548938,57.51666666666667
2024-09-30 11:14:21,19.4,-0.339558,-78.548971,57.550000000000004
2024-09-30 11:14:26,19.4,-0.339408,-78.549006,57.63333333333334
2024-09-30 11:14:31,11.8,-0.3392,-78.549043,57.716666666666676
2024-09-30 11:14:36,7.2,-0.339065,-78.549058,57.80000000000001
2024-09-30 11:14:41,0.0,-0.33905,-78.54906,57.88333333333335
2024-09-30 11:14:50,0.0,-0.33905,-78.54906,58.033333333333346
2024-09-30 11:14:51,0.0,-0.33905,-78.54906,58.05000000000001
2024-09-30 11:14:56,5.9,-0.339,-78.549081,58.13333333333335
2024-09-30 11:15:01,9.8,-0.338876,-78.549101,58.21666666666668
2024-09-30 11:15:06,5.3,-0.338776,-78.549123,58.30000000000002
2024-09-30 11:15:07,0.0,-0.338776,-78.549123,58.316666666666684
2024-09-30 11:15:08,0.0,-0.338776,-78.549123,58.33333333333335
2024-09-30 11:16:34,4.8,-0.338701,-78.549095,59.76666666666668
2024-09-30 11:16:39,7.2,-0.338618,-78.549115,59.850000000000016
2024-09-30 11:16:44,0.0,-0.33857,-78.549123,59.93333333333335
2024-09-30 11:16:44,0.0,-0.33857,-78.549123,59.93333333333335
2024-09-30 11:16:44,0.0,-0.33857,-78.549123,59.93333333333335
2024-09-30 11:20:11,0.0,-0.33857,-78.549123,63.383333333333354
2024-09-30 11:20:12,0.0,-0.33857,-78.549123,63.40000000000002
2024-09-30 11:22:16,4.2,-0.338503,-78.549183,65.46666666666668
2024-09-30 11:22:18,8.8,-0.33847,-78.54919,65.50000000000001
2024-09-30 11:22:23,10.0,-0.338341,-78.549211,65.58333333333334
2024-09-30 11:22:26,13.8,-0.33826,-78.549245,65.63333333333334
2024-09-30 11:22:28,15.7,-0.3382,-78.54929,65.66666666666667
2024-09-30 11:22:30,17.0,-0.338148,-78.549348,65.7
2024-09-30 11:22:35,0.0,-0.3381,-78.549436,65.78333333333333
2024-09-30 11:22:55,7.5,-0.338071,-78.549515,66.11666666666666
2024-09-30 11:22:59,19.0,-0.337991,-78.549623,66.18333333333332
2024-09-30 11:23:00,22.2,-0.337945,-78.549648,66.19999999999999
2024-09-30 11:23:01,24.8,-0.337886,-78.549663,66.21666666666665
2024-09-30 11:23:06,39.2,-0.337485,-78.549735,66.29999999999998
2024-09-30 11:23:11,51.3,-0.336916,-78.549838,66.38333333333331
2024-09-30 11:23:16,51.3,-0.336283,-78.549956,66.46666666666664
2024-09-30 11:23:21,50.5,-0.33566,-78.550073,66.54999999999997
2024-09-30 11:23:26,50.9,-0.335028,-78.550163,66.6333333333333
2024-09-30 11:23:31,45.7,-0.334418,-78.55023,66.71666666666663
2024-09-30 11:23:36,45.3,-0.33386,-78.550283,66.79999999999995
2024-09-30 11:23:41,45.7,-0.333281,-78.550336,66.88333333333328
2024-09-30 11:23:46,26.6,-0.332833,-78.550381,66.96666666666661
2024-09-30 11:23:51,31.1,-0.33246,-78.550413,67.04999999999994
2024-09-30 11:23:56,12.5,-0.332165,-78.550438,67.13333333333327
2024-09-30 11:24:01,0.0,-0.332141,-78.550438,67.2166666666666
2024-09-30 11:24:11,5.5,-0.332098,-78.550431,67.38333333333327
2024-09-30 11:24:16,19.2,-0.33193,-78.55044,67.4666666666666
2024-09-30 11:24:21,27.4,-0.331626,-78.550481,67.54999999999993
2024-09-30 11:24:26,31.1,-0.331258,-78.550523,67.63333333333325
2024-09-30 11:24:31,37.2,-0.330825,-78.550521,67.71666666666658
2024-09-30 11:24:36,45.9,-0.330295,-78.550525,67.79999999999991
2024-09-30 11:24:41,51.1,-0.329676,-78.550493,67.88333333333324
2024-09-30 11:24:46,47.4,-0.329051,-78.550471,67.96666666666657
2024-09-30 11:24:51,40.7,-0.328506,-78.55045,68.0499999999999
2024-09-30 11:24:56,37.0,-0.328011,-78.550428,68.13333333333323
2024-09-30 11:25:01,26.8,-0.327625,-78.550396,68.21666666666655
2024-09-30 11:25:06,32.2,-0.327273,-78.550368,68.29999999999988
