Tiempo,Velocidad,Latitud,Longitud,T_acumulado_min
2024-10-01 05:57:39,54.4,-0.32428,-78.550203,423.06666666666587
2024-10-01 05:57:44,60.0,-0.323566,-78.550085,423.1499999999992
2024-10-01 05:57:49,59.6,-0.322975,-78.549943,423.2333333333325
2024-10-01 05:57:54,60.1,-0.322083,-78.549758,423.3166666666658
2024-10-01 05:57:59,61.3,-0.321326,-78.549655,423.3999999999991
2024-10-01 05:58:04,60.5,-0.320563,-78.549563,423.48333333333244
2024-10-01 05:58:09,53.8,-0.319868,-78.54949,423.56666666666575
2024-10-01 05:58:14,55.7,-0.319191,-78.549418,423.64999999999907
2024-10-01 05:58:19,45.7,-0.318533,-78.549313,423.7333333333324
2024-10-01 05:58:24,20.3,-0.318126,-78.549235,423.8166666666657
2024-10-01 05:58:29,0.0,-0.318065,-78.549223,423.899999999999
2024-10-01 05:58:51,4.8,-0.318053,-78.549203,424.2666666666657
2024-10-01 05:58:56,21.1,-0.317883,-78.549163,424.349999999999
2024-10-01 05:59:01,38.8,-0.317508,-78.549065,424.4333333333323
2024-10-01 05:59:06,52.4,-0.316936,-78.548936,424.5166666666656
2024-10-01 05:59:11,53.8,-0.316281,-78.54878,424.59999999999894
2024-10-01 05:59:16,55.1,-0.315613,-78.548616,424.68333333333226
2024-10-01 05:59:21,56.4,-0.31493,-78.548456,424.76666666666557
2024-10-01 05:59:26,51.8,-0.314253,-78.548298,424.8499999999989
2024-10-01 05:59:31,34.6,-0.313735,-78.548178,424.9333333333322
2024-10-01 05:59:36,17.0,-0.313495,-78.548121,425.0166666666655
2024-10-01 05:59:41,0.0,-0.313421,-78.548096,425.09999999999883
2024-10-01 06:00:12,6.2,-0.313385,-78.548073,425.6166666666655
2024-10-01 06:00:17,18.5,-0.313263,-78.548023,425.6999999999988
2024-10-01 06:00:22,37.5,-0.312865,-78.547845,425.7833333333321
2024-10-01 06:00:27,48.5,-0.312375,-78.547575,425.8666666666654
2024-10-01 06:00:32,29.6,-0.311961,-78.547305,425.94999999999874
2024-10-01 06:00:35,17.7,-0.311818,-78.547203,425.99999999999875
2024-10-01 06:00:36,13.3,-0.311788,-78.547183,426.0166666666654
2024-10-01 06:00:41,0.0,-0.311771,-78.547168,426.0999999999987
2024-10-01 06:00:46,8.5,-0.31174,-78.547133,426.18333333333203
2024-10-01 06:00:51,24.0,-0.311565,-78.54701,426.26666666666534
2024-10-01 06:00:56,40.7,-0.311146,-78.546718,426.34999999999866
2024-10-01 06:01:01,51.6,-0.31066,-78.546381,426.433333333332
2024-10-01 06:01:06,51.1,-0.310128,-78.546015,426.5166666666653
2024-10-01 06:01:11,49.0,-0.309611,-78.54566,426.5999999999986
2024-10-01 06:01:16,49.2,-0.309105,-78.545295,426.6833333333319
2024-10-01 06:01:21,49.8,-0.30859,-78.544931,426.76666666666523
2024-10-01 06:01:26,49.8,-0.30807,-78.544573,426.84999999999854
2024-10-01 06:01:31,49.6,-0.307551,-78.544206,426.93333333333186
2024-10-01 06:01:36,50.1,-0.307016,-78.543848,427.0166666666652
2024-10-01 06:01:41,38.1,-0.306543,-78.543575,427.0999999999985
2024-10-01 06:01:46,11.6,-0.306275,-78.543451,427.1833333333318
2024-10-01 06:01:51,0.0,-0.306256,-78.543445,427.2666666666651
2024-10-01 06:01:59,6.2,-0.306216,-78.543423,427.39999999999844
2024-10-01 06:02:03,13.7,-0.306116,-78.5434,427.4666666666651
2024-10-01 06:02:08,0.0,-0.305961,-78.543351,427.5499999999984
2024-10-01 06:02:15,5.7,-0.305906,-78.543316,427.6666666666651
2024-10-01 06:02:20,17.9,-0.30575600000000003,-78.543251,427.7499999999984
2024-10-01 06:02:25,33.1,-0.305438,-78.543143,427.8333333333317
2024-10-01 06:02:25,33.1,-0.305438,-78.543143,427.8333333333317
2024-10-01 06:02:30,42.7,-0.305065,-78.543025,427.91666666666504
2024-10-01 06:02:35,48.3,-0.304365,-78.542856,427.99999999999835
2024-10-01 06:02:40,50.7,-0.303766,-78.54271,428.08333333333167
2024-10-01 06:02:45,54.0,-0.303106,-78.54259,428.166666666665
2024-10-01 06:02:50,56.4,-0.30242,-78.542465,428.2499999999983
2024-10-01 06:02:55,58.7,-0.301698,-78.542341,428.3333333333316
2024-10-01 06:03:00,57.0,-0.300983,-78.542255,428.4166666666649
2024-10-01 06:03:05,47.0,-0.300298,-78.542256,428.49999999999824
2024-10-01 06:03:09,29.4,-0.299921,-78.542188,428.5666666666649
2024-10-01 06:03:14,21.6,-0.299635,-78.54208,428.6499999999982
2024-10-01 06:03:19,7.4,-0.29943,-78.542045,428.73333333333153
2024-10-01 06:03:24,0.0,-0.29943,-78.542045,428.81666666666484
2024-10-01 06:03:47,4.4,-0.299398,-78.541993,429.19999999999817
2024-10-01 06:03:52,16.8,-0.29926,-78.541965,429.2833333333315
2024-10-01 06:03:57,31.4,-0.298956,-78.541895,429.3666666666648
2024-10-01 06:04:02,42.7,-0.298495,-78.541778,429.4499999999981
2024-10-01 06:04:07,49.8,-0.29793,-78.541593,429.5333333333314
2024-10-01 06:04:12,42.2,-0.297433,-78.541383,429.61666666666474
2024-10-01 06:04:17,50.0,-0.296905,-78.541148,429.69999999999806
2024-10-01 06:04:22,50.3,-0.296318,-78.540893,429.78333333333137
2024-10-01 06:04:27,50.3,-0.295851,-78.540693,429.8666666666647
2024-10-01 06:04:32,50.3,-0.295153,-78.540393,429.949999999998
2024-10-01 06:04:37,46.4,-0.29458,-78.540173,430.0333333333313
2024-10-01 06:04:42,33.8,-0.294113,-78.540016,430.1166666666646
2024-10-01 06:04:47,15.0,-0.293825,-78.53993,430.19999999999794
2024-10-01 06:04:52,0.0,-0.29378,-78.539915,430.28333333333126
2024-10-01 06:05:05,6.1,-0.293736,-78.539891,430.4999999999979
2024-10-01 06:05:10,21.8,-0.293563,-78.539835,430.5833333333312
2024-10-01 06:05:15,37.4,-0.293206,-78.53972,430.6666666666645
2024-10-01 06:05:20,42.5,-0.292698,-78.539546,430.74999999999784
2024-10-01 06:05:25,39.2,-0.292223,-78.539391,430.83333333333115
2024-10-01 06:05:30,42.5,-0.291743,-78.539233,430.91666666666447
2024-10-01 06:05:35,49.6,-0.291175,-78.539046,430.9999999999978
2024-10-01 06:05:39,49.0,-0.290698,-78.538886,431.06666666666445
2024-10-01 06:05:40,48.8,-0.290581,-78.538848,431.0833333333311
